path	vi	ko
destinations.json::[8].quizBank[0].question	Trong số các sản vật này, sản vật nào là quý hiếm và đắt giá nhất?	이 산물들 가운데 가장 귀하고 값비싼 것은 무엇인가요?
destinations.json::[8].quizBank[0].options[0]	Kỳ nam	기남 (최상급 침향)
destinations.json::[8].quizBank[0].options[1]	Quế	계피
destinations.json::[8].quizBank[0].options[2]	Trầm hương	침향
destinations.json::[8].quizBank[0].explain	Một ghi chép từ năm 1600 cho thấy: “Kỳ nam hương màu đen, có dầu và giá 50 cruzados một catty nơi người Bồ Đào Nha, trong khi tại chính nơi sản xuất, nó trị giá ngang với bạc, bao nhiêu kỳ nam hương là bấy nhiêu bạc.” Nhiều thương nhân người Hoa sẵn sàng đợi cả năm chỉ để có đủ kỳ nam cho một chuyến tàu đến Nhật Bản, nơi giá cả được đẩy lên gấp 40 lần giá tại chỗ.	1600년의 한 기록은 이렇게 적었습니다. “기남향은 검고 기름지며, 포르투갈 사람에게는 한 캐티에 50크루자두이다. 반면 생산지에서는 은과 같은 값이어서, 기남향의 무게만큼 은을 준다.” 많은 중국 상인은 일본으로 갈 배 한 척을 채울 기남을 모으려고 1년을 기다리기도 했습니다. 일본에서는 값이 산지의 40배까지 올랐습니다.
destinations.json::[8].quizBank[1].question	Loại sản vật nào xuất hiện trên Cửu Đỉnh?	구정(九鼎)에 새겨진 산물은 무엇인가요?
destinations.json::[8].quizBank[1].options[0]	Lá lao	라오 잎
destinations.json::[8].quizBank[1].options[1]	Cau	빈랑 (아레카)
destinations.json::[8].quizBank[1].options[2]	Tiêu	후추
destinations.json::[8].quizBank[1].explain	Cửu đỉnh là báu vật tượng trưng cho đế nghiệp muôn năm vững bền của triều Nguyễn, với 153 tấm họa tiết chạm nổi thể hiện phong cảnh, sản vật và con người Việt Nam. Trong số đó có 9 loại dược liệu và hương liệu quý, bao gồm kỳ nam, trầm hương, dâu tằm, tô hợp, yến sào, trầu không, cau, quế, và sâm ta.	구정(九鼎)은 응우옌 왕조의 만년 대업을 상징하는 보물로, 153개의 부조 도안에 베트남의 풍경과 산물, 사람을 담았습니다. 그 가운데 귀한 약재와 향료 9가지가 있습니다 — 기남, 침향, 뽕나무, 소합향, 제비집, 후추잎(빈랑잎), 빈랑, 계피, 그리고 베트남 인삼입니다.
destinations.json::[8].short	Một lát cắt về mạng lưới thương mại thế kỷ XVI-XVII thông qua các loại thổ sản.	토산물로 들여다본 16~17세기 교역망의 한 단면.
destinations.json::[8].highlights[0]	Quá trình khai thác kỳ nam, lâm sản quý hiếm bậc nhất	최고의 귀한 임산물, 기남(奇南) 채취 과정
destinations.json::[8].highlights[1]	Giá cả và tầm quan trọng của từng mặt hàng trong thị trường thổ sản	토산물 시장에서 품목별 가격과 비중
destinations.json::[8].highlights[2]	Những vật dụng sử dụng trong buôn bán	거래에 쓰인 도구들
destinations.json::[9].name	Nhà trưng bày Văn hóa Nhật Bản	일본 문화 전시관
destinations.json::[9].description	Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.	옛 호이안의 일본인 거리와, 이 도시에서 이루어진 일본 교역에 관한 고고학 전시입니다.
destinations.json::[9].quizBank[0].question	Trong dòng búp bê Koga, con khỉ đang ôm loài vật gì?	고가 인형 가운데, 원숭이가 안고 있는 동물은 무엇인가요?
destinations.json::[9].quizBank[0].options[0]	Mèo	고양이
destinations.json::[9].quizBank[0].options[1]	Gà	닭
destinations.json::[9].quizBank[0].options[2]	Chó	개
destinations.json::[9].quizBank[0].explain	Hiện này là một mẫu thiết kế có tên gọi "Khỉ ôm gà" của dòng búp bê Koga truyền thống đến từ tỉnh Nagasaki. Thiết kế này là một sự kết hợp độc đáo tượng trưng cho sự chuyển giao của 12 con giáp từ năm Thân (Saru) sang năm Dậu (Tori). Trong văn hóa Nhật Bản, từ con khỉ (saru) là một cách chơi chữ đồng âm với từ "rời đi" (saru / 去る), mang ý nghĩa xua đuổi những điều xui xẻo hoặc vận rủi.	이것은 나가사키현의 전통 고가 인형(古賀人形) 가운데 '원숭이가 닭을 안다'는 이름의 도안입니다. 십이지가 신년(申, saru)에서 유년(酉, tori)으로 넘어가는 것을 함께 담은 독특한 조합입니다. 일본어에서 '원숭이(saru)'는 '떠나다(去る, saru)'와 발음이 같아, 불운을 물러가게 한다는 뜻을 지닙니다.
destinations.json::[9].short	Một vòng văn hóa Nhật Bản với những thực hành và món đồ chơi truyền thống	전통 놀이와 장난감으로 둘러보는 일본 문화 한 바퀴
destinations.json::[10].name	Nhà biểu diễn nghệ thuật cổ truyền Hội An	호이안 전통예술 공연장
destinations.json::[10].description	Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.	1996년에 문을 연 전통예술 공연장으로, 그동안의 공연들은 국내외 많은 관객에게 아름다움과 즐거움을 안겨 주었습니다.
destinations.json::[11].name	Nhà thờ tộc Trần	쩐 씨 가문 사당
destinations.json::[11].description	Xuyên qua khu vườn yên ả là từ đường của tộc Trần, khởi dựng từ năm 1802 bởi một vị quan trước khi đi sứ sang Trung Quốc.	고요한 정원을 지나면 쩐 씨의 사당이 나옵니다. 1802년, 중국으로 사신 길을 떠나기 전 한 관리가 세웠습니다.
destinations.json::[11].quizBank[0].question	Con hổ trong bức tranh ở gian ngoài đang làm gì?	바깥 칸 그림 속 호랑이는 무엇을 하고 있나요?
destinations.json::[11].quizBank[0].options[0]	Ngồi	앉아 있다
destinations.json::[11].quizBank[0].options[1]	Nhảy qua suối	계곡을 뛰어넘는다
destinations.json::[11].quizBank[0].options[2]	Gầm	포효한다
destinations.json::[11].quizBank[0].explain	Trên bức tranh có viết hai chữ “Hổ khiếu” tức hổ gầm, tượng trưng cho sức mạnh dũng mãnh, uy lực vang dội, có thể xua đuổi tà khí.	그림에는 '호소(虎嘯)', 즉 호랑이의 포효라는 두 글자가 적혀 있습니다. 사나운 힘과 멀리 울리는 위세를 나타내며, 나쁜 기운을 물리친다고 여겨집니다.
destinations.json::[11].quizBank[1].question	Khi muốn xin ý kiến của tổ tiên, chủ nhà sẽ thực hiện hành động gì?	조상의 뜻을 여쭐 때 집주인은 어떤 의식을 하나요?
destinations.json::[11].quizBank[1].options[0]	Xin đài âm dương	음양 산가지를 던진다 (신 께이)
destinations.json::[11].quizBank[1].options[1]	Xin báo mộng	꿈으로 알려 주기를 청한다
destinations.json::[11].quizBank[1].options[2]	Xin giáng bút	신필(강필)을 청한다
destinations.json::[11].quizBank[1].explain	Xin đài âm dương (xin keo) là nghi thức gieo hai đồng xu hoặc hai miếng gỗ bán nguyệt để hỏi ý kiến thần linh, gia tiên phù hộ về những việc hệ trọng như làm nhà, kinh doanh, thi cử, ốm đau...	음양 산가지 던지기(신 다이 엄 즈엉, 신 께오)는 동전 두 개 또는 반달 모양 나무 두 쪽을 던져 신령과 조상의 뜻을 묻는 의식입니다. 집을 짓거나 장사를 시작하거나 시험을 치르거나 병이 났을 때처럼 중요한 일에 행합니다.
destinations.json::[11].quizBank[2].question	Kết cấu kiến trúc này có tên là gì?	이 구조의 이름은 무엇인가요?
destinations.json::[11].quizBank[2].options[0]	Vì giá chiêng	징걸이 트러스 (비 자 찌엥)
destinations.json::[11].quizBank[2].options[1]	Vì vỏ cua	게 등딱지 트러스 (비 보 꾸어)
destinations.json::[11].quizBank[2].options[2]	Vì chồng rường giả thủ	겹보 가짜머리 트러스 (비 쫑 즈엉 자 투)
destinations.json::[11].quizBank[2].explain	Vì vỏ cua là một kiểu kết cấu vì kèo gỗ truyền thống trong kiến trúc cổ của người Việt, thường gặp ở Hội An, Huế và các vùng lân cận. Các vì vỏ cua thường được thợ mộc chạm trổ hoa văn, họa tiết rất tinh xảo, vừa mang tính chịu lực đỡ mái vừa làm điểm nhấn trang trí cho không gian nội thất.	게 등딱지 트러스는 베트남 옛 건축의 전통 목조 지붕 구조로, 호이안과 후에 및 그 주변에서 자주 볼 수 있습니다. 목수들이 아주 정교하게 무늬를 새겨, 지붕을 받치는 구조이면서 실내를 꾸미는 요소가 됩니다.
destinations.json::[11].short	Nhà thờ cổ 200 năm tuổi ẩn trong một khu vườn, với lối kiến trúc pha trộn từ ba nền văn hoá.	정원에 숨은 200년 된 가문 사당 — 세 문화가 섞인 건축.
destinations.json::[11].highlights[0]	Kiến trúc nhà vườn cổ kính	옛 정원 주택의 건축
destinations.json::[11].highlights[1]	Các cổ vật mang nhiều dấu ấn văn hoá	여러 문화의 흔적이 담긴 골동품
destinations.json::[11].highlights[2]	Không gian thờ tự trang nghiêm	정중한 제례 공간
destinations.json::[12].name	Nhà thờ tộc Nguyễn Tường	응우옌 뜨엉 가문 사당
destinations.json::[12].description	Di tích gắn với sự phát tích của dòng họ Nguyễn Tường ở Hội An và của nhóm Tự Lực Văn Đoàn.	호이안에서 응우옌 뜨엉 가문이 일어난 자리이자, 문학 단체 뜨륵 반 도안(自力文團)과 이어진 유적입니다.
destinations.json::[12].quizBank[0].question	Ngôi nhà này được xây dựng bởi ai?	이 집은 누가 지었나요?
destinations.json::[12].quizBank[0].options[0]	Một vị thượng thư triều Nguyễn	응우옌 왕조의 한 상서(장관)
destinations.json::[12].quizBank[0].options[1]	Một hoạ sĩ	한 화가
destinations.json::[12].quizBank[0].options[2]	Một nhà văn	한 소설가
destinations.json::[12].quizBank[0].explain	Nguyễn Tường Vân là một vị quan đại thần dưới triều vua Gia Long và Minh Mạng, từng giữ chức Binh bộ Thượng thư và mang tước Nhuận Trạch Hầu. Ngay trước nhà còn liễn đối ca ngợi ông: “Nhuận Trạch hầu gia khí thế trường tồn uy hải ngoại. Thượng thư Binh bộ thanh danh quảng bá Việt trung.” Chức Binh bộ Thượng thư tương đương với Bộ trưởng Bộ Quốc phòng ngày nay.	응우옌 뜨엉 번은 자롱·민망 두 임금 아래의 대신으로, 병부상서(兵部尙書)를 지내고 뉴언 짝 후(潤澤侯) 작호를 받았습니다. 집 앞에는 그를 기리는 대련이 남아 있습니다. “뉴언 짝 후의 가문, 그 기세가 오래도록 바다 밖에까지 위엄을 떨치고; 병부상서의 이름은 베트남 안에 널리 퍼졌다.” 병부상서는 오늘날의 국방부 장관에 해당합니다.
destinations.json::[12].quizBank[1].question	Phần trung tâm của ngôi nhà này được sử dụng để làm gì?	이 집의 중심 칸은 무엇에 쓰였나요?
destinations.json::[12].quizBank[1].options[0]	Sáng tác văn chương	글을 쓰는 곳
destinations.json::[12].quizBank[1].options[1]	Thờ cúng	제사를 모시는 곳
destinations.json::[12].quizBank[1].options[2]	Tiếp khách	손님을 맞는 곳
destinations.json::[12].quizBank[1].explain	Trước gian thờ là hoành phi ghi bốn chữ “Nguyễn Tường từ đường”, hai bên là liễn đối: “Thiên tải tần phồn truy viễn, thử tâm hà cảm giải. Nhất diên tu tiến đốc thân, tư niệm khởi năng vong.” Tạm dịch: Ngàn năm dâng lễ cúng tế tưởng nhớ tổ tiên, tấm lòng này sao dám trễ nải. Một mâm cúng dâng món ngon hiếu kính người thân, đạo lý này há thể nào quên.	제단 앞에는 '응우옌 뜨엉 사당(阮祥祠堂)'이라는 네 글자의 편액이 걸려 있고, 양쪽에 대련이 있습니다. “천 년을 두고 제사를 올려 조상을 기리니, 이 마음 어찌 게을러지겠는가. 한 상에 좋은 음식을 올려 어버이를 공경하니, 이 도리를 어찌 잊겠는가.”
destinations.json::[12].quizBank[2].question	Tác giả nào là hậu duệ của tộc Nguyễn Tường?	응우옌 뜨엉 가문의 후손인 작가는 누구인가요?
destinations.json::[12].quizBank[2].options[0]	Nguyên Hồng	응우옌 홍
destinations.json::[12].quizBank[2].options[1]	Khái Hưng	카이 흥
destinations.json::[12].quizBank[2].options[2]	Thạch Lam	타익 람
destinations.json::[12].quizBank[2].explain	Thạch Lam là hậu duệ của dòng họ khoa bảng Nguyễn Tường. Tuy vậy, cuộc đời sáng tác của ông gắn liền với phố huyện Cẩm Giàng (Hải Dương) và Hà Nội. Ông viết về một chiều hoàng hôn ở phố huyện tù đọng và bị lề hóa: “Tiếng trống thu không trên cái chòi của huyện nhỏ; từng tiếng một vang ra để gọi buổi chiều. Phương tây đỏ rực như lửa cháy và những áng mây ánh hồng như hòn than sắp tàn. [...] Chiều, chiều rồi. Một chiều êm ả như ru, văng vẳng tiếng ếch nhái kêu ra ngoài đồng ruộng theo gió nhẹ đưa vào.”	타익 람은 과거 급제자를 배출한 응우옌 뜨엉 가문의 후손입니다. 다만 그의 작품 세계는 하이즈엉의 껌장 읍내와 하노이에 붙어 있습니다. 그는 정체되고 밀려난 읍내의 해질녘을 이렇게 썼습니다. “작은 현의 망루에서 저녁을 부르는 북소리가 하나하나 울려 퍼진다. 서쪽은 불타는 듯 붉고, 붉은빛 구름은 꺼져 가는 숯덩이 같다. […] 저녁, 저녁이 왔다. 자장가처럼 고요한 저녁, 들에서 개구리 울음이 가벼운 바람을 타고 들려온다.”
destinations.json::[12].short	Câu chuyện về dòng họ được khai cơ bởi một vị Thượng thư – cội nguồn của những nhà văn lớn thế kỷ XX.	한 상서(尙書)가 일으킨 가문의 이야기 — 20세기 큰 작가들의 뿌리.
destinations.json::[12].highlights[0]	Các tác phẩm của nhóm Tự Lực Văn Đoàn	뜨륵 반 도안 작가들의 작품
destinations.json::[12].highlights[1]	Sắc phong của bốn triều vua	네 임금이 내린 칙봉
destinations.json::[12].highlights[2]	Không gian thờ tự trang nghiêm	정중한 제례 공간
destinations.json::[13].name	Nhà cổ Phùng Hưng	풍흥 고가
destinations.json::[13].description	Mong muốn gia đình sẽ làm ăn ngày càng phát đạt, vị thương nhân đã đặt tên cho ngôi nhà là “Phùng Hưng” - cũng là tên hiệu buôn của ông, mang nghĩa là “hưng thịnh”.	집안의 장사가 갈수록 번창하기를 바라며, 그 상인은 집 이름을 '풍흥(馮興)'이라 지었습니다. 자기 상호이기도 했고, '흥하고 번성한다'는 뜻입니다.
destinations.json::[13].quizBank[0].question	Hai bộ tranh này được tạo ra bằng kỹ nghệ gì?	이 두 그림은 어떤 기법으로 만들었나요?
destinations.json::[13].quizBank[0].options[0]	Pháp lam	법랑 (에나멜)
destinations.json::[13].quizBank[0].options[1]	Cẩn xà cừ	자개 상감
destinations.json::[13].quizBank[0].options[2]	Ghép sành sứ	도자기 조각 붙이기
destinations.json::[13].quizBank[0].explain	Cẩn xà cừ (khảm trai) là nghề thủ công truyền thống lâu đời tại Việt Nam, dùng các mảnh vỏ trai, vỏ ốc cắt gọt tinh xảo để cẩn lên bề mặt gỗ, kim loại hoặc sơn mài. Các chi tiết cẩn xà cừ có độ óng ánh, đổi màu theo góc nhìn.	자개 상감은 베트남의 오랜 전통 공예입니다. 조개와 소라 껍데기를 아주 정교하게 잘라 나무, 금속, 칠기 표면에 박아 넣습니다. 자개는 보는 각도에 따라 빛이 어른거리고 색이 달라집니다.
destinations.json::[13].quizBank[1].question	Chiếc cửa sập trong nhà dùng để làm gì?	집 안의 이 뚜껑문은 무엇에 쓰였나요?
destinations.json::[13].quizBank[1].options[0]	Đi lại giữa gác và tầng trệt	다락과 1층 사이를 오가는 데
destinations.json::[13].quizBank[1].options[1]	Thông gió	바람이 통하게 하려고
destinations.json::[13].quizBank[1].options[2]	Chuyển hàng hóa, đồ đạc lên tầng	물건과 가구를 위층으로 올리는 데
destinations.json::[13].quizBank[1].explain	Xưa kia, do phố cổ Hội An nằm gần sông và hay bị ngập lụt mùa nước lên, chủ nhà dùng cửa sập này để nhanh chóng chuyển và kéo hàng hóa từ tầng trệt lên gác lửng nhằm tránh lũ.	옛날 호이안 구시가는 강에 가까워 물이 오르면 자주 잠겼습니다. 그래서 집주인은 이 뚜껑문으로 1층의 물건을 재빨리 다락으로 끌어 올려 홍수를 피했습니다.
destinations.json::[13].quizBank[2].question	Bộ tượng này là nhân hóa của các giá trị gì?	이 세 상은 어떤 가치를 사람의 모습으로 나타낸 것인가요?
destinations.json::[13].quizBank[2].options[0]	Phúc - Lộc - Thọ	복 · 록 · 수
destinations.json::[13].quizBank[2].options[1]	Tòng Phụ - Tòng Phu - Tòng Tử	종부 · 종부 · 종자 (삼종)
destinations.json::[13].quizBank[2].options[2]	Nhân - Lễ - Nghĩa	인 · 예 · 의
destinations.json::[13].quizBank[2].explain	Phúc Lộc Thọ (hay Tam Đa) là biểu tượng trong văn hóa Á Đông tượng trưng cho ba điều ước lớn nhất của đời người: may mắn/hạnh phúc (Phúc), sự thịnh vượng/giàu sang (Lộc), và sức khỏe/sống lâu (Thọ).	복록수(福祿壽), 즉 삼다(三多)는 동아시아 문화에서 인생의 세 가지 큰 소망을 나타냅니다. 복은 행운과 행복, 록은 번영과 부, 수는 건강과 오래 삶입니다.
destinations.json::[13].short	Nhà cổ rộng rãi, với kiến trúc pha trộn từ ba nền văn hoá Việt - Nhật - Trung	넉넉한 고가 — 베트남·일본·중국 세 문화가 섞인 건축
destinations.json::[13].highlights[0]	Các bộ tranh được tạo bằng kỹ thuật truyền thống	전통 기법으로 만든 그림들
destinations.json::[13].highlights[1]	Mái nhà giữa được thiết kế theo kiểu "tứ hải" của Nhật Bản	가운데 지붕은 일본의 '사해(四海)' 형식
destinations.json::[13].highlights[2]	Bộ liễn đối theo lối “hồi văn” - dù đọc xuôi hay đọc ngược thì ý nghĩa không đổi	'회문(回文)' 대련 — 앞으로 읽어도 뒤로 읽어도 뜻이 같다
destinations.json::[14].name	Nhà cổ Quân Thắng	꾸언 탕 고가
destinations.json::[14].description	Nhà cổ Quân Thắng được xây dựng vào khoảng cuối thế kỷ 17, pha trộn giữa phong cách Trung Hoa và Việt Nam.	꾸언 탕 고가는 17세기 말 무렵에 지어졌고, 중국 양식과 베트남 양식이 섞여 있습니다.
destinations.json::[14].quizBank[0].question	Chủ nhân đầu tiên của ngôi nhà này là ai?	이 집의 첫 주인은 누구였나요?
destinations.json::[14].quizBank[0].options[0]	Chủ hiệu sách	서점 주인
destinations.json::[14].quizBank[0].options[1]	Thương nhân buôn gốm	도자기 상인
destinations.json::[14].quizBank[0].options[2]	Thương nhân kinh doanh hàng hóa quý hiếm	귀한 물품을 다루던 상인
destinations.json::[14].quizBank[0].explain	Chủ nhân đầu tiên là ông Quân Thắng, một thương nhân người Hoa giàu có bậc nhất tại phố Hội thời xưa. Bà Diệp Ái Phương (cháu đời thứ 7 của thương nhân Quân Thắng) cho biết, ban đầu nơi đây là một hiệu buôn sầm uất, chuyên kinh doanh các loại hàng hóa quý hiếm.	첫 주인은 꾸언 탕으로, 옛 호이안에서 가장 부유한 화교 상인 가운데 한 사람이었습니다. 7대손 지엡 아이 프엉 여사에 따르면, 이곳은 본래 귀한 물품을 전문으로 다루던 번성한 상점이었습니다.
destinations.json::[14].quizBank[1].question	Những con số này biểu thị điều gì?	이 숫자들은 무엇을 나타내나요?
destinations.json::[14].quizBank[1].options[0]	Mốc nước lũ theo từng năm	해마다의 홍수 수위
destinations.json::[14].quizBank[1].options[1]	Chiều cao của các loại cây kiểng khác nhau	여러 분재의 키
destinations.json::[14].quizBank[1].options[2]	Chiều cao các thành viên trong gia đình	가족들의 키
destinations.json::[14].quizBank[1].explain	Bà Diệp Ái Phương cho biết việc ghi dấu mực nước trên cột gỗ đã có từ thời ông cha để lại. Con cháu trong dòng họ vẫn tiếp tục gìn giữ, bảo tồn. Trong những ngày lũ, gia đình bà chuyển toàn bộ sinh hoạt lên tầng 2 để đảm bảo an toàn. Trên cột nhà có ghi lại trận lũ Giáp Thìn 1964, một trận "đại hồng thủy" gây thiệt hại nghiêm trọng cho các tỉnh miền Trung từ Huế đến Bình Định (cũ).	지엡 아이 프엉 여사는 나무 기둥에 물 높이를 적는 일이 조부 대부터 내려왔다고 합니다. 후손들도 그것을 지키고 있습니다. 홍수가 나면 온 가족이 2층으로 올라가 지냈습니다. 기둥에는 1964년 갑진년 대홍수도 적혀 있는데, 후에에서 (옛) 빈딘까지 중부 여러 성에 큰 피해를 입힌 '대홍수'였습니다.
destinations.json::[14].quizBank[2].question	Hình ảnh được chạm trên cuốn thư ở giếng trời là gì?	천정(하늘우물) 위 편액에 새겨진 그림은 무엇인가요?
destinations.json::[14].quizBank[2].options[0]	Hoa cúc và chim trĩ	국화와 꿩
destinations.json::[14].quizBank[2].options[1]	Cây tùng và hươu	소나무와 사슴
destinations.json::[14].quizBank[2].options[2]	Cây tùng và hạc	소나무와 학
destinations.json::[14].quizBank[2].explain	Hình ảnh tùng và hươu là một hình ảnh phổ biến trong trang trí ở Đông Á, trong đó cây tùng diện cho sức sống bền bỉ, sự hiên ngang và khí tiết vượt qua nghịch cảnh còn hươu (âm Hán Việt là “lộc”) có phát âm tương tự chữ "lộc" (tài lộc, bổng lộc). Trong kiến trúc nhà ống dài không có cửa sổ bên hông, thiên tỉnh là nguồn cung cấp ánh sáng và khí trời duy nhất. Ở ngay sát cửa có thể thấy hai bài vị thờ “Thiên quan tứ phúc” và “Tư mệnh táo quân”. Thờ cúng ông Thiên là truyền thống của nhiều gia đình người Hoa. Bài vị thờ “Thiên quan tứ phúc” sẽ được đặt ở nơi thoáng đãng, lộ thiên để đón phúc khí.	소나무와 사슴은 동아시아 장식에서 흔한 짜임입니다. 소나무는 끈질긴 생명력과 곧은 기개, 역경을 넘는 절개를 나타내고, 사슴은 한자음으로 '록(鹿)'이어서 '록(祿, 재물과 복)'과 소리가 같습니다. 옆으로 창을 낼 수 없는 긴 튜브 하우스에서 천정(하늘우물)은 빛과 바람의 유일한 통로입니다. 문 바로 옆에는 '천관사복(天官賜福)'과 '사명조군(司命灶君)' 두 신위가 있습니다. 하늘에 제사하는 것은 많은 화교 가정의 전통이며, '천관사복' 신위는 복된 기운을 받으려 하늘이 열린 곳에 둡니다.
destinations.json::[14].short	Ngôi nhà hơn 300 tuổi mang văn hoá người Hoa	화교 문화를 품은 300년 넘은 집
destinations.json::[14].highlights[0]	Kiến trúc nhà ống đặc trưng của Hội An	호이안 특유의 튜브 하우스 구조
destinations.json::[14].highlights[1]	Các chi tiết điêu khắc gỗ tinh xảo	정교한 목조 조각
destinations.json::[14].highlights[2]	Nội thất và trang trí của cộng đồng người Hoa	화교 사회의 가구와 장식
destinations.json::[15].name	Nhà cổ Đức An	득안 고가
destinations.json::[15].description	Một ngôi nhà ghi lại quá trình phát triển của phong trào yêu nước đầu thế kỷ XX, từ phong trào Duy Tân cho đến hoạt động cách mạng của Đảng Cộng sản.	20세기 초 애국 운동의 전개를 기록한 집입니다. 두이떤(維新) 운동에서 공산당의 혁명 활동까지 이어집니다.
destinations.json::[15].quizBank[0].question	Trước kia nhà Đức An từng bán sách của tác giả nào?	옛날 득안 상점은 어느 저자의 책을 팔았나요?
destinations.json::[15].quizBank[0].options[0]	Sách của Khang Hữu Vi, Lương Khải Siêu	캉유웨이, 량치차오의 책
destinations.json::[15].quizBank[0].options[1]	Sách của Hà Ân Chấn	허언전의 책
destinations.json::[15].quizBank[0].options[2]	Sách của Cù Thu Bạch	취추바이의 책
destinations.json::[15].quizBank[0].explain	Từ cuối thế kỷ XIX, ngôi Nhà Đức An là nơi bán sách, chủ yếu là sách tiếng Hoa của tác giả Khang Hữu Vi, Lương Khải Siêu,... Trong thời gian này, các nhà yêu nước kháng Pháp như Huỳnh Thúc Kháng, Trần Quý Cáp... thường lui tới để đặt mua những cuốn sách có nội dung tư tưởng tiến bộ. Cụ Trần Quý Cáp đã cho gia chủ các chữ được ghi trên liễn đối: “Vân trình ngũ sắc văn minh thịnh; Vạn tuế tam xuân khí tượng tân” (có nghĩa: Mây quý hiển linh giúp nền văn minh rực rỡ; Vạn năm khí sắc xuân lành), thể hiện khát khao canh tân, phát triển đất nước.	19세기 말부터 득안 집은 서점이었고, 주로 캉유웨이·량치차오 등의 중국어 책을 팔았습니다. 이 시기에 후인 특 캉, 쩐 꾸이 깝 같은 항불 애국지사들이 진보적인 책을 주문하러 자주 드나들었습니다. 쩐 꾸이 깝은 집주인에게 대련의 글귀를 지어 주었습니다. “운정오색문명성(雲程五色文明盛); 만세삼춘기상신(萬歲三春氣象新)” — 오색 구름이 상서로워 문명이 빛나고, 만년의 삼춘 기운이 새롭다. 나라를 개혁하고 발전시키고자 하는 열망을 담은 글입니다.
destinations.json::[15].quizBank[1].question	Vì sao hiệu Đức An chuyển sang bán thuốc bắc?	득안 상점은 왜 한약 판매로 바꾸었나요?
destinations.json::[15].quizBank[1].options[0]	Hiệu Đức An gặp được nguồn cung thuốc tốt	좋은 약재 공급처를 만나서
destinations.json::[15].quizBank[1].options[1]	Thực dân Pháp đàn áp Trung Kỳ dân biến	프랑스가 중부 민중 봉기를 탄압해서
destinations.json::[15].quizBank[1].options[2]	Việc bán sách không còn thu được lợi nhuận	책 장사가 더는 남지 않아서
destinations.json::[15].quizBank[1].explain	Sau sự kiện chống thuế năm 1908, nhà Đức An chuyển sang bán thuốc Bắc hòa vào việc buôn bán tấp nập cùng nhiều hiệu thuốc Bắc ở Hội An song vẫn là điểm hẹn gặp gỡ của các chí sĩ yêu nước trong khu vực. Trong vụ dân biến này, nông dân kéo nhau thành từng đoàn đến bao vây các dinh công sứ Pháp để nộp đơn xin giảm sưu thuế. Thực dân Pháp sau đó đã dùng vũ lực đàn áp đẫm máu, bắt bớ và đày ải nhiều sĩ phu, nông dân yêu nước.	1908년 조세 저항 사건 이후 득안 집은 한약 판매로 돌아섰고, 호이안의 여러 한약방과 함께 활발히 장사했습니다. 그러면서도 이 지역 애국지사들이 만나는 자리로 남았습니다. 이 봉기에서 농민들은 무리를 지어 프랑스 공사관을 둘러싸고 부역과 세금을 줄여 달라는 청원을 냈습니다. 프랑스는 그 뒤 무력으로 피의 진압을 하고, 많은 사대부와 애국 농민을 잡아 유배 보냈습니다.
destinations.json::[15].quizBank[2].question	Từ năm 1927 đến năm 1934, chủ nhà Đức An đã sử dụng nơi này để tổ chức những hoạt động gì?	1927년부터 1934년까지 득안의 주인은 이곳을 무슨 활동에 썼나요?
destinations.json::[15].quizBank[2].options[0]	Chẩn bệnh miễn phí cho người nghèo	가난한 이들을 위한 무료 진료
destinations.json::[15].quizBank[2].options[1]	Gặp gỡ các cầu thủ của đội bóng Ô-rô	오로 축구팀 선수들과의 만남
destinations.json::[15].quizBank[2].options[2]	Liên lạc, hội họp của phong trào cách mạng	혁명 운동의 연락과 회합
destinations.json::[15].quizBank[2].explain	Tháng 10/1927, tại chính căn nhà này, đồng chí Năm Thêm chủ trì cuộc họp thành lập Hội Việt Nam Cách mạng Thanh niên Hội An. Từ ngày 28/03/1930, Tỉnh ủy Đảng Cộng sản Việt Nam Quảng Nam được thành lập ở Hội An, nhà Đức An tiếp tục trở thành nơi liên lạc và tổ chức hội họp của Đảng. Năm 1934, do sự chỉ dẫn của mật thám, lính Pháp đã đến lục soát ngôi nhà này và tìm thấy một vài tài liệu tiếng nước ngoài. Từ đó, nhà Đức An tạm đình chỉ làm nơi liên lạc của Đảng.	1927년 10월, 바로 이 집에서 남 템 동지가 호이안 베트남 혁명청년회 창립 회의를 주재했습니다. 1930년 3월 28일 꽝남 성 당위원회가 호이안에서 세워진 뒤에도 득안은 당의 연락처이자 회합 장소였습니다. 1934년, 밀정의 제보로 프랑스 병사들이 집을 수색해 외국어 문서 몇 점을 찾아냈습니다. 그 뒤 득안은 당의 연락처 역할을 잠시 멈추었습니다.
destinations.json::[15].short	Hình hài của tinh thần yêu nước, tinh thần cách mạng qua nhiều thế hệ.	여러 세대에 걸친 애국과 혁명 정신이 형태를 얻은 집.
destinations.json::[15].highlights[0]	Dụng cụ sinh hoạt và ảnh tư liệu của đồng chí Cao Hồng Lãnh	까오 홍 란 동지의 생활 도구와 자료 사진
destinations.json::[15].highlights[1]	Cổ vật của gia đình Đức An	득안 집안의 골동품
