path	vi	ja
destinations.json::[8].highlights[2]	Những vật dụng sử dụng trong buôn bán	商いに使われた道具
destinations.json::[9].name	Nhà trưng bày Văn hóa Nhật Bản	日本文化展示館
destinations.json::[9].description	Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.	かつての会安の日本人町と、この町における日本との交易の考古学に関する展示です。
destinations.json::[9].quizBank[0].question	Trong dòng búp bê Koga, con khỉ đang ôm loài vật gì?	古賀人形のなかで、猿が抱いているのはどの動物ですか？
destinations.json::[9].quizBank[0].options[0]	Mèo	猫
destinations.json::[9].quizBank[0].options[1]	Gà	鶏
destinations.json::[9].quizBank[0].options[2]	Chó	犬
destinations.json::[9].quizBank[0].explain	Hiện này là một mẫu thiết kế có tên gọi "Khỉ ôm gà" của dòng búp bê Koga truyền thống đến từ tỉnh Nagasaki. Thiết kế này là một sự kết hợp độc đáo tượng trưng cho sự chuyển giao của 12 con giáp từ năm Thân (Saru) sang năm Dậu (Tori). Trong văn hóa Nhật Bản, từ con khỉ (saru) là một cách chơi chữ đồng âm với từ "rời đi" (saru / 去る), mang ý nghĩa xua đuổi những điều xui xẻo hoặc vận rủi.	これは長崎県の伝統的な古賀人形のうち「猿が鶏を抱く」という意匠です。十二支が申年（saru）から酉年（tori）へ移ることを一体に表した独特の組み合わせです。日本語では「猿（saru）」が「去る（saru）」と同音で、悪運を去らせる意味をもちます。
destinations.json::[9].short	Một vòng văn hóa Nhật Bản với những thực hành và món đồ chơi truyền thống	伝統の技と玩具でめぐる、日本文化ひとまわり
destinations.json::[10].name	Nhà biểu diễn nghệ thuật cổ truyền Hội An	会安伝統芸術上演館
destinations.json::[10].description	Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.	伝統芸術の上演館は1996年の開設以来、その公演が国内外の多くの観客に美しさと楽しみを届けてきました。
destinations.json::[11].name	Nhà thờ tộc Trần	チャン氏の祠堂
destinations.json::[11].description	Xuyên qua khu vườn yên ả là từ đường của tộc Trần, khởi dựng từ năm 1802 bởi một vị quan trước khi đi sứ sang Trung Quốc.	静かな庭を抜けると、チャン家の祠堂があります。1802年、中国へ使いに立つ前に、ある官吏が建てました。
destinations.json::[11].quizBank[0].question	Con hổ trong bức tranh ở gian ngoài đang làm gì?	外の間の絵の虎は何をしていますか？
destinations.json::[11].quizBank[0].options[0]	Ngồi	座っている
destinations.json::[11].quizBank[0].options[1]	Nhảy qua suối	谷川を飛び越える
destinations.json::[11].quizBank[0].options[2]	Gầm	吠えている
destinations.json::[11].quizBank[0].explain	Trên bức tranh có viết hai chữ “Hổ khiếu” tức hổ gầm, tượng trưng cho sức mạnh dũng mãnh, uy lực vang dội, có thể xua đuổi tà khí.	絵には「虎嘯」の二字が書かれています。虎のほえる声、すなわち猛々しい力と遠くまで響く威勢を表し、邪気を退けるとされます。
destinations.json::[11].quizBank[1].question	Khi muốn xin ý kiến của tổ tiên, chủ nhà sẽ thực hiện hành động gì?	先祖の意向を伺うとき、家の主は何をしますか？
destinations.json::[11].quizBank[1].options[0]	Xin đài âm dương	陰陽の筶（こう）を投げる
destinations.json::[11].quizBank[1].options[1]	Xin báo mộng	夢での知らせを願う
destinations.json::[11].quizBank[1].options[2]	Xin giáng bút	降筆を願う
destinations.json::[11].quizBank[1].explain	Xin đài âm dương (xin keo) là nghi thức gieo hai đồng xu hoặc hai miếng gỗ bán nguyệt để hỏi ý kiến thần linh, gia tiên phù hộ về những việc hệ trọng như làm nhà, kinh doanh, thi cử, ốm đau...	陰陽の筶を投げる（シン・ケオ）は、銅貨二枚または半月形の木片二つを投げて、神霊と先祖の意を伺う儀式です。家を建てる、商いを始める、試験を受ける、病を得たなど、重要な事柄のときに行います。
destinations.json::[11].quizBank[2].question	Kết cấu kiến trúc này có tên là gì?	この構造の名は何ですか？
destinations.json::[11].quizBank[2].options[0]	Vì giá chiêng	銅鑼掛け式の小屋組
destinations.json::[11].quizBank[2].options[1]	Vì vỏ cua	蟹の甲式の小屋組
destinations.json::[11].quizBank[2].options[2]	Vì chồng rường giả thủ	重ね梁・偽首式の小屋組
destinations.json::[11].quizBank[2].explain	Vì vỏ cua là một kiểu kết cấu vì kèo gỗ truyền thống trong kiến trúc cổ của người Việt, thường gặp ở Hội An, Huế và các vùng lân cận. Các vì vỏ cua thường được thợ mộc chạm trổ hoa văn, họa tiết rất tinh xảo, vừa mang tính chịu lực đỡ mái vừa làm điểm nhấn trang trí cho không gian nội thất.	蟹の甲式の小屋組はベトナム古建築の伝統的な木の屋根構造で、会安やフエ、その周辺でよく見られます。職人が細やかに文様を彫り、屋根を支えつつ室内の見どころにもなります。
destinations.json::[11].short	Nhà thờ cổ 200 năm tuổi ẩn trong một khu vườn, với lối kiến trúc pha trộn từ ba nền văn hoá.	庭に隠れた200年の一族の祠堂——三つの文化が混ざる建築。
destinations.json::[11].highlights[0]	Kiến trúc nhà vườn cổ kính	古い庭付き住宅の建築
destinations.json::[11].highlights[1]	Các cổ vật mang nhiều dấu ấn văn hoá	さまざまな文化の跡を宿す古物
destinations.json::[11].highlights[2]	Không gian thờ tự trang nghiêm	おごそかな祭祀の空間
destinations.json::[12].name	Nhà thờ tộc Nguyễn Tường	グエン・トゥオン氏の祠堂
destinations.json::[12].description	Di tích gắn với sự phát tích của dòng họ Nguyễn Tường ở Hội An và của nhóm Tự Lực Văn Đoàn.	会安におけるグエン・トゥオン家の発祥、そして文学団体「自力文団」に結びついた遺跡です。
destinations.json::[12].quizBank[0].question	Ngôi nhà này được xây dựng bởi ai?	この家を建てたのは誰ですか？
destinations.json::[12].quizBank[0].options[0]	Một vị thượng thư triều Nguyễn	阮朝の尚書（大臣）
destinations.json::[12].quizBank[0].options[1]	Một hoạ sĩ	一人の画家
destinations.json::[12].quizBank[0].options[2]	Một nhà văn	一人の作家
destinations.json::[12].quizBank[0].explain	Nguyễn Tường Vân là một vị quan đại thần dưới triều vua Gia Long và Minh Mạng, từng giữ chức Binh bộ Thượng thư và mang tước Nhuận Trạch Hầu. Ngay trước nhà còn liễn đối ca ngợi ông: “Nhuận Trạch hầu gia khí thế trường tồn uy hải ngoại. Thượng thư Binh bộ thanh danh quảng bá Việt trung.” Chức Binh bộ Thượng thư tương đương với Bộ trưởng Bộ Quốc phòng ngày nay.	グエン・トゥオン・ヴァンはザーロン・ミンマン両帝のもとの重臣で、兵部尚書を務め、潤沢侯の爵位を受けました。家の前には彼をたたえる対句が残ります。「潤沢侯の家、その気勢は久しく海外にまで威を示し／兵部尚書の名声はベトナム中に広く伝わる」。兵部尚書は今日の国防大臣に当たります。
destinations.json::[12].quizBank[1].question	Phần trung tâm của ngôi nhà này được sử dụng để làm gì?	この家の中心の間は何に使われますか？
destinations.json::[12].quizBank[1].options[0]	Sáng tác văn chương	文章を書くため
destinations.json::[12].quizBank[1].options[1]	Thờ cúng	祭祀のため
destinations.json::[12].quizBank[1].options[2]	Tiếp khách	客を迎えるため
destinations.json::[12].quizBank[1].explain	Trước gian thờ là hoành phi ghi bốn chữ “Nguyễn Tường từ đường”, hai bên là liễn đối: “Thiên tải tần phồn truy viễn, thử tâm hà cảm giải. Nhất diên tu tiến đốc thân, tư niệm khởi năng vong.” Tạm dịch: Ngàn năm dâng lễ cúng tế tưởng nhớ tổ tiên, tấm lòng này sao dám trễ nải. Một mâm cúng dâng món ngon hiếu kính người thân, đạo lý này há thể nào quên.	祭壇の前には「阮祥祠堂」の四字の扁額が掛かり、両側に対句があります。「千載しばしば祭りて遠祖を追う、この心なんぞ懈るを敢えんや／一筵よき膳を修めて親に篤し、この念いかんぞ忘れ得んや」。
destinations.json::[12].quizBank[2].question	Tác giả nào là hậu duệ của tộc Nguyễn Tường?	グエン・トゥオン家の子孫である作家は誰ですか？
destinations.json::[12].quizBank[2].options[0]	Nguyên Hồng	グエン・ホン
destinations.json::[12].quizBank[2].options[1]	Khái Hưng	カイ・フン
destinations.json::[12].quizBank[2].options[2]	Thạch Lam	タック・ラム
destinations.json::[12].quizBank[2].explain	Thạch Lam là hậu duệ của dòng họ khoa bảng Nguyễn Tường. Tuy vậy, cuộc đời sáng tác của ông gắn liền với phố huyện Cẩm Giàng (Hải Dương) và Hà Nội. Ông viết về một chiều hoàng hôn ở phố huyện tù đọng và bị lề hóa: “Tiếng trống thu không trên cái chòi của huyện nhỏ; từng tiếng một vang ra để gọi buổi chiều. Phương tây đỏ rực như lửa cháy và những áng mây ánh hồng như hòn than sắp tàn. [...] Chiều, chiều rồi. Một chiều êm ả như ru, văng vẳng tiếng ếch nhái kêu ra ngoài đồng ruộng theo gió nhẹ đưa vào.”	タック・ラムは科挙の家系グエン・トゥオン家の子孫です。ただし作家としての生涯は、ハイズオン省カムザンの町とハノイに結びついています。彼は停滞し取り残された町の夕暮れをこう書きました。「小さな県の櫓から、夕を呼ぶ太鼓の音がひとつひとつ響く。西の空は燃えるように赤く、桃色の雲は消えかけた炭のようだ。……夕暮れ、夕暮れになった。子守歌のように穏やかな夕暮れ、田から蛙の声が微かな風に運ばれてくる。」
destinations.json::[12].short	Câu chuyện về dòng họ được khai cơ bởi một vị Thượng thư – cội nguồn của những nhà văn lớn thế kỷ XX.	一人の尚書が興した一族の物語——20世紀の大作家たちの源。
destinations.json::[12].highlights[0]	Các tác phẩm của nhóm Tự Lực Văn Đoàn	自力文団の作家たちの作品
destinations.json::[12].highlights[1]	Sắc phong của bốn triều vua	四代の王から下された勅封
destinations.json::[12].highlights[2]	Không gian thờ tự trang nghiêm	おごそかな祭祀の空間
destinations.json::[13].name	Nhà cổ Phùng Hưng	フンフン古民家
destinations.json::[13].description	Mong muốn gia đình sẽ làm ăn ngày càng phát đạt, vị thương nhân đã đặt tên cho ngôi nhà là “Phùng Hưng” - cũng là tên hiệu buôn của ông, mang nghĩa là “hưng thịnh”.	家業がいっそう栄えることを願って、その商人は家を「馮興」と名づけました。自らの商号でもあり、「栄える」という意味です。
destinations.json::[13].quizBank[0].question	Hai bộ tranh này được tạo ra bằng kỹ nghệ gì?	この二つの絵はどの技法で作られましたか？
destinations.json::[13].quizBank[0].options[0]	Pháp lam	法瑯（七宝）
destinations.json::[13].quizBank[0].options[1]	Cẩn xà cừ	螺鈿（らでん）象嵌
destinations.json::[13].quizBank[0].options[2]	Ghép sành sứ	陶片の貼り合わせ
destinations.json::[13].quizBank[0].explain	Cẩn xà cừ (khảm trai) là nghề thủ công truyền thống lâu đời tại Việt Nam, dùng các mảnh vỏ trai, vỏ ốc cắt gọt tinh xảo để cẩn lên bề mặt gỗ, kim loại hoặc sơn mài. Các chi tiết cẩn xà cừ có độ óng ánh, đổi màu theo góc nhìn.	螺鈿はベトナムの古くからの伝統工芸です。貝や螺の殻を精緻に切り出し、木・金属・漆の表面に嵌め込みます。螺鈿は見る角度によって輝き、色が変わります。
destinations.json::[13].quizBank[1].question	Chiếc cửa sập trong nhà dùng để làm gì?	家の中のこの上げ蓋は何のためのものですか？
destinations.json::[13].quizBank[1].options[0]	Đi lại giữa gác và tầng trệt	中二階と一階を行き来するため
destinations.json::[13].quizBank[1].options[1]	Thông gió	風を通すため
destinations.json::[13].quizBank[1].options[2]	Chuyển hàng hóa, đồ đạc lên tầng	荷物や家具を上へ運ぶため
destinations.json::[13].quizBank[1].explain	Xưa kia, do phố cổ Hội An nằm gần sông và hay bị ngập lụt mùa nước lên, chủ nhà dùng cửa sập này để nhanh chóng chuyển và kéo hàng hóa từ tầng trệt lên gác lửng nhằm tránh lũ.	かつて会安の旧市街は川に近く、水が上がるとよく浸かりました。そこで家人はこの上げ蓋から一階の荷を素早く中二階へ引き上げ、洪水を避けたのです。
destinations.json::[13].quizBank[2].question	Bộ tượng này là nhân hóa của các giá trị gì?	この三体の像はどの価値を人の姿にしたものですか？
destinations.json::[13].quizBank[2].options[0]	Phúc - Lộc - Thọ	福・禄・寿
destinations.json::[13].quizBank[2].options[1]	Tòng Phụ - Tòng Phu - Tòng Tử	従父・従夫・従子（三従）
destinations.json::[13].quizBank[2].options[2]	Nhân - Lễ - Nghĩa	仁・礼・義
destinations.json::[13].quizBank[2].explain	Phúc Lộc Thọ (hay Tam Đa) là biểu tượng trong văn hóa Á Đông tượng trưng cho ba điều ước lớn nhất của đời người: may mắn/hạnh phúc (Phúc), sự thịnh vượng/giàu sang (Lộc), và sức khỏe/sống lâu (Thọ).	福禄寿（三多）は東アジア文化の象徴で、人生の三つの大きな願いを表します。福は幸運と幸福、禄は富と栄え、寿は健康と長寿です。
destinations.json::[13].short	Nhà cổ rộng rãi, với kiến trúc pha trộn từ ba nền văn hoá Việt - Nhật - Trung	広々とした古民家——ベトナム・日本・中国の三つの文化が混ざる建築
destinations.json::[13].highlights[0]	Các bộ tranh được tạo bằng kỹ thuật truyền thống	伝統の技法でつくられた絵
destinations.json::[13].highlights[1]	Mái nhà giữa được thiết kế theo kiểu "tứ hải" của Nhật Bản	中央の屋根は日本の「四海」形式
destinations.json::[13].highlights[2]	Bộ liễn đối theo lối “hồi văn” - dù đọc xuôi hay đọc ngược thì ý nghĩa không đổi	「回文」の対句——順に読んでも逆に読んでも意味が変わらない
destinations.json::[14].name	Nhà cổ Quân Thắng	クアンタン古民家
destinations.json::[14].description	Nhà cổ Quân Thắng được xây dựng vào khoảng cuối thế kỷ 17, pha trộn giữa phong cách Trung Hoa và Việt Nam.	クアンタン古民家は17世紀末ごろに建てられ、中国様式とベトナム様式が混ざっています。
destinations.json::[14].quizBank[0].question	Chủ nhân đầu tiên của ngôi nhà này là ai?	この家の最初の主人は誰でしたか？
destinations.json::[14].quizBank[0].options[0]	Chủ hiệu sách	書店の主人
destinations.json::[14].quizBank[0].options[1]	Thương nhân buôn gốm	陶磁の商人
destinations.json::[14].quizBank[0].options[2]	Thương nhân kinh doanh hàng hóa quý hiếm	珍しく高価な品を扱う商人
destinations.json::[14].quizBank[0].explain	Chủ nhân đầu tiên là ông Quân Thắng, một thương nhân người Hoa giàu có bậc nhất tại phố Hội thời xưa. Bà Diệp Ái Phương (cháu đời thứ 7 của thương nhân Quân Thắng) cho biết, ban đầu nơi đây là một hiệu buôn sầm uất, chuyên kinh doanh các loại hàng hóa quý hiếm.	最初の主人はクアンタン氏で、かつての会安でもっとも裕福な華人商人の一人でした。七代目の子孫ディエップ・アイ・フオンさんによれば、ここは元来、珍しく高価な品を専門に扱う繁盛した商店だったといいます。
destinations.json::[14].quizBank[1].question	Những con số này biểu thị điều gì?	これらの数字は何を表していますか？
destinations.json::[14].quizBank[1].options[0]	Mốc nước lũ theo từng năm	年ごとの洪水の水位
destinations.json::[14].quizBank[1].options[1]	Chiều cao của các loại cây kiểng khác nhau	さまざまな盆栽の高さ
destinations.json::[14].quizBank[1].options[2]	Chiều cao các thành viên trong gia đình	家族の身長
destinations.json::[14].quizBank[1].explain	Bà Diệp Ái Phương cho biết việc ghi dấu mực nước trên cột gỗ đã có từ thời ông cha để lại. Con cháu trong dòng họ vẫn tiếp tục gìn giữ, bảo tồn. Trong những ngày lũ, gia đình bà chuyển toàn bộ sinh hoạt lên tầng 2 để đảm bảo an toàn. Trên cột nhà có ghi lại trận lũ Giáp Thìn 1964, một trận "đại hồng thủy" gây thiệt hại nghiêm trọng cho các tỉnh miền Trung từ Huế đến Bình Định (cũ).	ディエップ・アイ・フオンさんによれば、柱に水位を刻むのは祖父の代からの習わしで、子孫が守り続けています。洪水の日は一家そろって二階で暮らしました。柱には1964年甲辰の大洪水も記されています。フエから（旧）ビンディンまで中部各省に大きな被害を与えた「大洪水」でした。
destinations.json::[14].quizBank[2].question	Hình ảnh được chạm trên cuốn thư ở giếng trời là gì?	天井（吹き抜け）の書き巻き飾りに彫られている図は何ですか？
destinations.json::[14].quizBank[2].options[0]	Hoa cúc và chim trĩ	菊とキジ
destinations.json::[14].quizBank[2].options[1]	Cây tùng và hươu	松と鹿
destinations.json::[14].quizBank[2].options[2]	Cây tùng và hạc	松と鶴
destinations.json::[14].quizBank[2].explain	Hình ảnh tùng và hươu là một hình ảnh phổ biến trong trang trí ở Đông Á, trong đó cây tùng diện cho sức sống bền bỉ, sự hiên ngang và khí tiết vượt qua nghịch cảnh còn hươu (âm Hán Việt là “lộc”) có phát âm tương tự chữ "lộc" (tài lộc, bổng lộc). Trong kiến trúc nhà ống dài không có cửa sổ bên hông, thiên tỉnh là nguồn cung cấp ánh sáng và khí trời duy nhất. Ở ngay sát cửa có thể thấy hai bài vị thờ “Thiên quan tứ phúc” và “Tư mệnh táo quân”. Thờ cúng ông Thiên là truyền thống của nhiều gia đình người Hoa. Bài vị thờ “Thiên quan tứ phúc” sẽ được đặt ở nơi thoáng đãng, lộ thiên để đón phúc khí.	松と鹿は東アジアの装飾でよく見る組み合わせです。松は粘り強い生命力、まっすぐな気骨、逆境を越える節操を表し、鹿は漢越音で「lộc」、すなわち「禄（財と俸）」と同音です。側面に窓のない細長い町家では、天井（吹き抜け）が光と風の唯一の通り道です。戸口のすぐそばには「天官賜福」と「司命竈君」の二つの位牌があります。天を祀るのは多くの華人家庭の伝統で、「天官賜福」の位牌は福気を受けるために開けた露天の場所に置かれます。
destinations.json::[14].short	Ngôi nhà hơn 300 tuổi mang văn hoá người Hoa	華人の文化を宿す築300年余の家
destinations.json::[14].highlights[0]	Kiến trúc nhà ống đặc trưng của Hội An	会安特有の細長い町家の構造
destinations.json::[14].highlights[1]	Các chi tiết điêu khắc gỗ tinh xảo	精緻な木彫の細部
destinations.json::[14].highlights[2]	Nội thất và trang trí của cộng đồng người Hoa	華人社会の家具と装飾
destinations.json::[15].name	Nhà cổ Đức An	ドゥックアン古民家
destinations.json::[15].description	Một ngôi nhà ghi lại quá trình phát triển của phong trào yêu nước đầu thế kỷ XX, từ phong trào Duy Tân cho đến hoạt động cách mạng của Đảng Cộng sản.	20世紀初めの愛国運動の展開を記す家です。維新運動から、共産党の革命活動まで。
destinations.json::[15].quizBank[0].question	Trước kia nhà Đức An từng bán sách của tác giả nào?	かつてドゥックアン店はどの著者の本を売っていましたか？
destinations.json::[15].quizBank[0].options[0]	Sách của Khang Hữu Vi, Lương Khải Siêu	康有為・梁啓超の書
destinations.json::[15].quizBank[0].options[1]	Sách của Hà Ân Chấn	何恩振の書
destinations.json::[15].quizBank[0].options[2]	Sách của Cù Thu Bạch	瞿秋白の書
destinations.json::[15].quizBank[0].explain	Từ cuối thế kỷ XIX, ngôi Nhà Đức An là nơi bán sách, chủ yếu là sách tiếng Hoa của tác giả Khang Hữu Vi, Lương Khải Siêu,... Trong thời gian này, các nhà yêu nước kháng Pháp như Huỳnh Thúc Kháng, Trần Quý Cáp... thường lui tới để đặt mua những cuốn sách có nội dung tư tưởng tiến bộ. Cụ Trần Quý Cáp đã cho gia chủ các chữ được ghi trên liễn đối: “Vân trình ngũ sắc văn minh thịnh; Vạn tuế tam xuân khí tượng tân” (có nghĩa: Mây quý hiển linh giúp nền văn minh rực rỡ; Vạn năm khí sắc xuân lành), thể hiện khát khao canh tân, phát triển đất nước.	19世紀末からドゥックアンの家は書店で、主に康有為・梁啓超らの中国語の書を売っていました。この時期、フイン・トゥック・カン、チャン・クイ・カップら抗仏の愛国者たちが進歩的な書を注文しにしばしば訪れました。チャン・クイ・カップは主人に対句を贈りました。「雲程五色 文明盛んなり／万歳三春 気象新たなり」。国を改め発展させたいという願いを込めた言葉です。
destinations.json::[15].quizBank[1].question	Vì sao hiệu Đức An chuyển sang bán thuốc bắc?	ドゥックアン店はなぜ漢方薬の販売に転じたのですか？
destinations.json::[15].quizBank[1].options[0]	Hiệu Đức An gặp được nguồn cung thuốc tốt	よい薬材の仕入れ先を得たから
destinations.json::[15].quizBank[1].options[1]	Thực dân Pháp đàn áp Trung Kỳ dân biến	フランスが中部の民衆運動を弾圧したから
destinations.json::[15].quizBank[1].options[2]	Việc bán sách không còn thu được lợi nhuận	本の商いが利益にならなくなったから
destinations.json::[15].quizBank[1].explain	Sau sự kiện chống thuế năm 1908, nhà Đức An chuyển sang bán thuốc Bắc hòa vào việc buôn bán tấp nập cùng nhiều hiệu thuốc Bắc ở Hội An song vẫn là điểm hẹn gặp gỡ của các chí sĩ yêu nước trong khu vực. Trong vụ dân biến này, nông dân kéo nhau thành từng đoàn đến bao vây các dinh công sứ Pháp để nộp đơn xin giảm sưu thuế. Thực dân Pháp sau đó đã dùng vũ lực đàn áp đẫm máu, bắt bớ và đày ải nhiều sĩ phu, nông dân yêu nước.	1908年の抗税事件のあと、ドゥックアンの家は漢方薬の販売に転じ、会安の多くの薬舗とともに商いを賑わせました。それでもなお、この地の愛国者たちが集まる場所であり続けました。この民変で農民たちは隊を組んでフランス公使館を囲み、賦役と税の軽減を願う嘆願を出しました。フランスはその後、武力で血の弾圧を行い、多くの士人と愛国的な農民を捕らえ流刑にしました。
destinations.json::[15].quizBank[2].question	Từ năm 1927 đến năm 1934, chủ nhà Đức An đã sử dụng nơi này để tổ chức những hoạt động gì?	1927年から1934年まで、ドゥックアンの主人はここで何の活動を行いましたか？
destinations.json::[15].quizBank[2].options[0]	Chẩn bệnh miễn phí cho người nghèo	貧しい人への無料診療
destinations.json::[15].quizBank[2].options[1]	Gặp gỡ các cầu thủ của đội bóng Ô-rô	オーロ・サッカーチームの選手との会合
destinations.json::[15].quizBank[2].options[2]	Liên lạc, hội họp của phong trào cách mạng	革命運動の連絡と会合
destinations.json::[15].quizBank[2].explain	Tháng 10/1927, tại chính căn nhà này, đồng chí Năm Thêm chủ trì cuộc họp thành lập Hội Việt Nam Cách mạng Thanh niên Hội An. Từ ngày 28/03/1930, Tỉnh ủy Đảng Cộng sản Việt Nam Quảng Nam được thành lập ở Hội An, nhà Đức An tiếp tục trở thành nơi liên lạc và tổ chức hội họp của Đảng. Năm 1934, do sự chỉ dẫn của mật thám, lính Pháp đã đến lục soát ngôi nhà này và tìm thấy một vài tài liệu tiếng nước ngoài. Từ đó, nhà Đức An tạm đình chỉ làm nơi liên lạc của Đảng.	1927年10月、まさにこの家でナム・テム同志がホイアン・ベトナム革命青年会の設立会議を主宰しました。1930年3月28日にクアンナム省党委員会が会安で成立したのちも、ドゥックアンは党の連絡先であり会合の場でした。1934年、密偵の通報によりフランス兵が家を捜索し、外国語の文書を数点見つけました。以後、ドゥックアンは党の連絡所としての役目をいったん止めました。
destinations.json::[15].short	Hình hài của tinh thần yêu nước, tinh thần cách mạng qua nhiều thế hệ.	幾世代にわたる愛国と革命の精神が形を得た家。
destinations.json::[15].highlights[0]	Dụng cụ sinh hoạt và ảnh tư liệu của đồng chí Cao Hồng Lãnh	カオ・ホン・ラン同志の生活用具と資料写真
destinations.json::[15].highlights[1]	Cổ vật của gia đình Đức An	ドゥックアン家の古物
destinations.json::[15].highlights[2]	Phần nào hoạt động của nhóm Tam Quảng	三広グループの活動の一部
destinations.json::[16].name	Nhà cổ Tấn Ký	タンキー古民家
destinations.json::[16].description	Nhà cổ Tấn Ký không chỉ đẹp ở kiến trúc mà còn giống như một bảo tàng thu nhỏ với vô vàn cổ vật thú vị	タンキー古民家は建築が美しいだけでなく、興味深い古物が数え切れないほどある小さな博物館のようです。
destinations.json::[16].quizBank[0].question	Chiếc ghe bầu này được sử dụng khi di chuyển ở vùng nước nào?	このゲー・バウ船はどの水域で使われましたか？
destinations.json::[16].quizBank[0].options[0]	Vịnh	湾
destinations.json::[16].quizBank[0].options[1]	Biển	海
destinations.json::[16].quizBank[0].options[2]	Sông	川
destinations.json::[16].quizBank[0].explain	Ghe bầu là loại thương thuyền (thuyền buôn) gỗ cỡ lớn truyền thống từng đóng vai trò huyết mạch trong ngành hàng hải và giao thương ven biển Việt Nam từ thế kỷ 16 đến nửa đầu thế kỷ 20. Thuyền có phần thân phình to ở giữa giống hình quả bầu, mạn cao, đáy bằng hoặc hơi khum, giúp chịu được sóng gió lớn ngoài khơi.	ゲー・バウは大型の木造商船で、16世紀から20世紀前半までベトナムの海運と沿岸交易の大動脈でした。船体の中央が瓢のように膨らみ、舷が高く、底は平か緩い弧を描くため、沖の大波と風に耐えられました。
destinations.json::[16].quizBank[1].question	Hiệu Tấn Ký từng buôn bán những mặt hàng nào?	タンキー店はどんな品を扱っていましたか？
destinations.json::[16].quizBank[1].options[0]	Y phục	衣類
destinations.json::[16].quizBank[1].options[1]	Sách báo	書籍・新聞
destinations.json::[16].quizBank[1].options[2]	Nông sản	農産物
destinations.json::[16].quizBank[1].explain	Nhà cổ Tấn Ký được xây dựng vào năm 1741 bởi ông Lê Công, một thương nhân gốc Hoa di cư đến Hội An. Ông Lê Công ban đầu kinh doanh hàng nông sản từ miền cao về phố cảng.	タンキー古民家は1741年、会安に移り住んだ華人系の商人レ・コンが建てました。彼は初め、高地の農産物を港町へ運んで商いました。
destinations.json::[16].quizBank[2].question	Chiếc cốc này gửi gắm triết lý gì?	この杯はどんな教えを託していますか？
destinations.json::[16].quizBank[2].options[0]	Biết đủ	足るを知ること
destinations.json::[16].quizBank[2].options[1]	Nghĩa khí	義の心
destinations.json::[16].quizBank[2].options[2]	Khiêm tốn	謙虚
destinations.json::[16].quizBank[2].explain	Chiếc cốc hoạt động dựa trên nguyên lý bình thông nhau và hiệu ứng xifong (siphoning). Ở giữa cốc có một cột nhỏ che giấu một đường ống cong (ống chữ U ngược). Nếu rót quá đầy (vượt quá đỉnh của ống ngầm bên trong), toàn bộ nước trong cốc sẽ tự động chảy sạch qua lỗ nhỏ ở đáy cốc.	この杯は連通管の原理とサイフォン効果で働きます。杯の中央の小さな柱が逆U字の管を隠しており、管の頂を越えるほど注ぎすぎると、杯の水は底の小穴からすべて流れ出てしまいます。
destinations.json::[16].short	“Bảo tàng sống” giữ gần như nguyên vẹn kiến trúc đặc trưng nhà cổ Hội An xưa.	昔の会安の町家の特徴をほぼそのまま残す「生きた博物館」。
destinations.json::[16].highlights[0]	Chén Khổng Tử từ Phước Kiến	福建から来た孔子の杯
destinations.json::[16].highlights[1]	Nội thất gỗ được chạm cầu kỳ	手をかけて彫られた木の内装
destinations.json::[16].highlights[2]	Tính nguyên vẹn của kiến trúc xưa	古い建築が保たれている完全さ
destinations.json::[17].name	Hội quán Quảng Triệu	広肇会館
destinations.json::[17].description	Dưới những nếp mái vuông vức là không gian trang nghiêm, được trang trí bằng vô số cổ điển Trung Hoa	四角く整えられた屋根の下には、おごそかな空間があり、中国古典の題材が数え切れないほど飾られています。
destinations.json::[17].quizBank[0].question	Ba người này đang ở đâu?	この三人はどこにいますか？
destinations.json::[17].quizBank[0].options[0]	Vườn trúc	竹の園
destinations.json::[17].quizBank[0].options[1]	Núi tùng	松の山
destinations.json::[17].quizBank[0].options[2]	Vườn đào	桃の園
destinations.json::[17].quizBank[0].explain	Bức tranh vẽ cảnh kết nghĩa vườn đào của ba anh em Lưu Bị, Quan Vũ và Trương Phi với lời thề "Tuy không sinh cùng ngày cùng tháng cùng năm, nhưng nguyện chết cùng ngày cùng tháng cùng năm", nguyện dốc sức vì nước, cứu dân an đời.	絵は劉備・関羽・張飛の三兄弟による桃園の誓いです。「同じ日、同じ月、同じ年に生まれてはいないが、同じ日、同じ月、同じ年に死ぬことを願う」と誓い、国のために力を尽くし民を救うと決めます。
destinations.json::[17].quizBank[1].question	Trong ba nhân vật, ai là Quan Vũ?	三人のうち、関羽はどれですか？
destinations.json::[17].quizBank[1].options[0]	Người có mặt đỏ	顔の赤い人
destinations.json::[17].quizBank[1].options[1]	Người ở giữa có tai to	中央にいる耳の大きい人
destinations.json::[17].quizBank[1].options[2]	Người có mặt đen	顔の黒い人
