path	vi	de
destinations.json::[8].description	Thổ sản là một trong những mặt hàng được xuất khẩu qua thương cảng Hội An. Từ thế kỷ XVI, các thuyền buôn Bồ Đào Nha đã đến đây mua hàng như tơ, lụa, hồ tiêu, gỗ quý, thông qua các đại lý người Hoa hay người Nhật.	Landesprodukte gehörten zu den wichtigsten Ausfuhren über den Hafen von Hội An. Schon im 16. Jahrhundert kauften portugiesische Schiffe hier Rohseide und Seidenstoffe, Pfeffer und Edelholz — über chinesische oder japanische Mittelsmänner.
destinations.json::[8].quizBank[0].question	Trong số các sản vật này, sản vật nào là quý hiếm và đắt giá nhất?	Welches dieser Produkte war das seltenste und teuerste?
destinations.json::[8].quizBank[0].options[0]	Kỳ nam	Kỳ nam, das feinste Adlerholz
destinations.json::[8].quizBank[0].options[1]	Quế	Zimt
destinations.json::[8].quizBank[0].options[2]	Trầm hương	Adlerholz
destinations.json::[8].quizBank[0].explain	Một ghi chép từ năm 1600 cho thấy: “Kỳ nam hương màu đen, có dầu và giá 50 cruzados một catty nơi người Bồ Đào Nha, trong khi tại chính nơi sản xuất, nó trị giá ngang với bạc, bao nhiêu kỳ nam hương là bấy nhiêu bạc.” Nhiều thương nhân người Hoa sẵn sàng đợi cả năm chỉ để có đủ kỳ nam cho một chuyến tàu đến Nhật Bản, nơi giá cả được đẩy lên gấp 40 lần giá tại chỗ.	Eine Aufzeichnung von 1600 hält fest: „Kỳ nam ist schwarz und ölig und kostet bei den Portugiesen 50 Cruzados je Catty; am Ort der Gewinnung war es sein Gewicht in Silber wert.“ Viele chinesische Kaufleute warteten ein ganzes Jahr, um eine Schiffsladung für Japan zusammenzubekommen — dort stieg der Preis auf das Vierzigfache.
destinations.json::[8].quizBank[1].question	Loại sản vật nào xuất hiện trên Cửu Đỉnh?	Welches dieser Produkte ist auf den Neun Urnen dargestellt?
destinations.json::[8].quizBank[1].options[0]	Lá lao	Das Lao-Blatt
destinations.json::[8].quizBank[1].options[1]	Cau	Betelnuss
destinations.json::[8].quizBank[1].options[2]	Tiêu	Pfeffer
destinations.json::[8].quizBank[1].explain	Cửu đỉnh là báu vật tượng trưng cho đế nghiệp muôn năm vững bền của triều Nguyễn, với 153 tấm họa tiết chạm nổi thể hiện phong cảnh, sản vật và con người Việt Nam. Trong số đó có 9 loại dược liệu và hương liệu quý, bao gồm kỳ nam, trầm hương, dâu tằm, tô hợp, yến sào, trầu không, cau, quế, và sâm ta.	Die Neun Dynastischen Urnen stehen für den dauerhaften Bestand der Nguyễn: Ihre 153 Reliefs zeigen Landschaften, Erzeugnisse und Menschen Vietnams. Darunter neun kostbare Heil- und Duftstoffe: kỳ nam, Adlerholz, Maulbeere, Storax, Schwalbennest, Betelblatt, Betelnuss, Zimt und vietnamesischer Ginseng.
destinations.json::[8].short	Một lát cắt về mạng lưới thương mại thế kỷ XVI-XVII thông qua các loại thổ sản.	Ein Querschnitt des Handelsnetzes im 16./17. Jahrhundert, gesehen durch die Landesprodukte.
destinations.json::[8].highlights[0]	Quá trình khai thác kỳ nam, lâm sản quý hiếm bậc nhất	Die Gewinnung von kỳ nam, dem kostbarsten Waldprodukt
destinations.json::[8].highlights[1]	Giá cả và tầm quan trọng của từng mặt hàng trong thị trường thổ sản	Preis und Gewicht jeder Ware auf dem Markt
destinations.json::[8].highlights[2]	Những vật dụng sử dụng trong buôn bán	Die Werkzeuge des Handels
destinations.json::[9].name	Nhà trưng bày Văn hóa Nhật Bản	Ausstellungshaus japanischer Kultur
destinations.json::[9].description	Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.	Eine Ausstellung über das japanische Viertel im alten Hội An und die Archäologie des japanischen Handels in der Stadt.
destinations.json::[9].quizBank[0].question	Trong dòng búp bê Koga, con khỉ đang ôm loài vật gì?	Welches Tier hält der Affe bei den Koga-Puppen?
destinations.json::[9].quizBank[0].options[0]	Mèo	Eine Katze
destinations.json::[9].quizBank[0].options[1]	Gà	Einen Hahn
destinations.json::[9].quizBank[0].options[2]	Chó	Einen Hund
destinations.json::[9].quizBank[0].explain	Hiện này là một mẫu thiết kế có tên gọi "Khỉ ôm gà" của dòng búp bê Koga truyền thống đến từ tỉnh Nagasaki. Thiết kế này là một sự kết hợp độc đáo tượng trưng cho sự chuyển giao của 12 con giáp từ năm Thân (Saru) sang năm Dậu (Tori). Trong văn hóa Nhật Bản, từ con khỉ (saru) là một cách chơi chữ đồng âm với từ "rời đi" (saru / 去る), mang ý nghĩa xua đuổi những điều xui xẻo hoặc vận rủi.	Es ist ein Modell namens „Affe hält Hahn“ aus den traditionellen Koga-Puppen der Präfektur Nagasaki. Es vereint den Übergang des Tierkreises vom Affenjahr (saru) zum Hahnenjahr (tori). Im Japanischen ist saru, „Affe“, gleichlautend mit saru (去る), „fortgehen“ — die Puppe schickt das Unglück fort.
destinations.json::[9].short	Một vòng văn hóa Nhật Bản với những thực hành và món đồ chơi truyền thống	Eine Runde japanischer Kultur durch Bräuche und traditionelles Spielzeug
destinations.json::[10].name	Nhà biểu diễn nghệ thuật cổ truyền Hội An	Haus der traditionellen Künste Hội An
destinations.json::[10].description	Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.	1996 eröffnet, hat dieses Haus der traditionellen Künste seither vielen Zuschauern aus dem In- und Ausland Schönheit und Freude gebracht.
destinations.json::[11].name	Nhà thờ tộc Trần	Der Ahnentempel der Trần
destinations.json::[11].description	Xuyên qua khu vườn yên ả là từ đường của tộc Trần, khởi dựng từ năm 1802 bởi một vị quan trước khi đi sứ sang Trung Quốc.	Hinter einem stillen Garten steht der Ahnentempel der Trần, 1802 von einem Mandarin errichtet, bevor er als Gesandter nach China aufbrach.
destinations.json::[11].quizBank[0].question	Con hổ trong bức tranh ở gian ngoài đang làm gì?	Was tut der Tiger auf dem Bild im vorderen Raum?
destinations.json::[11].quizBank[0].options[0]	Ngồi	Er sitzt
destinations.json::[11].quizBank[0].options[1]	Nhảy qua suối	Er springt über einen Bach
destinations.json::[11].quizBank[0].options[2]	Gầm	Er brüllt
destinations.json::[11].quizBank[0].explain	Trên bức tranh có viết hai chữ “Hổ khiếu” tức hổ gầm, tượng trưng cho sức mạnh dũng mãnh, uy lực vang dội, có thể xua đuổi tà khí.	Auf dem Bild stehen zwei Zeichen, „Hổ khiếu“ — das Brüllen des Tigers: wilde Kraft, weithin hallende Macht und die Fähigkeit, böse Einflüsse zu vertreiben.
destinations.json::[11].quizBank[1].question	Khi muốn xin ý kiến của tổ tiên, chủ nhà sẽ thực hiện hành động gì?	Wie befragt der Hausherr die Ahnen?
destinations.json::[11].quizBank[1].options[0]	Xin đài âm dương	Er wirft die Yin-Yang-Lose
destinations.json::[11].quizBank[1].options[1]	Xin báo mộng	Er bittet um einen Traum
destinations.json::[11].quizBank[1].options[2]	Xin giáng bút	Er bittet um Geisterschrift
destinations.json::[11].quizBank[1].explain	Xin đài âm dương (xin keo) là nghi thức gieo hai đồng xu hoặc hai miếng gỗ bán nguyệt để hỏi ý kiến thần linh, gia tiên phù hộ về những việc hệ trọng như làm nhà, kinh doanh, thi cử, ốm đau...	Beim Werfen der Yin-Yang-Lose (xin keo) wirft man zwei Münzen oder zwei halbmondförmige Holzstücke, um Götter und Ahnen zu befragen — beim Hausbau, beim Beginn eines Geschäfts, vor einer Prüfung, bei Krankheit.
destinations.json::[11].quizBank[2].question	Kết cấu kiến trúc này có tên là gì?	Wie heißt diese Konstruktion?
destinations.json::[11].quizBank[2].options[0]	Vì giá chiêng	Der „Gonghalter“-Binder
destinations.json::[11].quizBank[2].options[1]	Vì vỏ cua	Der „Krebsschalen“-Binder
destinations.json::[11].quizBank[2].options[2]	Vì chồng rường giả thủ	Der „Stapelbalken mit falschem Kopf“-Binder
destinations.json::[11].quizBank[2].explain	Vì vỏ cua là một kiểu kết cấu vì kèo gỗ truyền thống trong kiến trúc cổ của người Việt, thường gặp ở Hội An, Huế và các vùng lân cận. Các vì vỏ cua thường được thợ mộc chạm trổ hoa văn, họa tiết rất tinh xảo, vừa mang tính chịu lực đỡ mái vừa làm điểm nhấn trang trí cho không gian nội thất.	Der „Krebsschalen“-Binder ist ein traditionelles Holzdachwerk der alten vietnamesischen Architektur, häufig in Hội An, Huế und der Umgebung. Zimmerleute schnitzen ihn feinteilig: Er trägt das Dach und wird zugleich zum Schmuck des Innenraums.
destinations.json::[11].short	Nhà thờ cổ 200 năm tuổi ẩn trong một khu vườn, với lối kiến trúc pha trộn từ ba nền văn hoá.	Ein 200 Jahre alter Ahnentempel, versteckt in einem Garten — Architektur aus drei Kulturen.
destinations.json::[11].highlights[0]	Kiến trúc nhà vườn cổ kính	Die alte Architektur des Gartenhauses
destinations.json::[11].highlights[1]	Các cổ vật mang nhiều dấu ấn văn hoá	Antiquitäten mit Spuren mehrerer Kulturen
destinations.json::[11].highlights[2]	Không gian thờ tự trang nghiêm	Der feierliche Kultraum
destinations.json::[12].name	Nhà thờ tộc Nguyễn Tường	Der Ahnentempel der Nguyễn Tường
destinations.json::[12].description	Di tích gắn với sự phát tích của dòng họ Nguyễn Tường ở Hội An và của nhóm Tự Lực Văn Đoàn.	Ein Denkmal, verbunden mit dem Aufstieg der Nguyễn-Tường-Linie in Hội An und dem Literaturkreis Tự Lực Văn Đoàn.
destinations.json::[12].quizBank[0].question	Ngôi nhà này được xây dựng bởi ai?	Wer baute dieses Haus?
destinations.json::[12].quizBank[0].options[0]	Một vị thượng thư triều Nguyễn	Ein Minister des Nguyễn-Hofs
destinations.json::[12].quizBank[0].options[1]	Một hoạ sĩ	Ein Maler
destinations.json::[12].quizBank[0].options[2]	Một nhà văn	Ein Schriftsteller
destinations.json::[12].quizBank[0].explain	Nguyễn Tường Vân là một vị quan đại thần dưới triều vua Gia Long và Minh Mạng, từng giữ chức Binh bộ Thượng thư và mang tước Nhuận Trạch Hầu. Ngay trước nhà còn liễn đối ca ngợi ông: “Nhuận Trạch hầu gia khí thế trường tồn uy hải ngoại. Thượng thư Binh bộ thanh danh quảng bá Việt trung.” Chức Binh bộ Thượng thư tương đương với Bộ trưởng Bộ Quốc phòng ngày nay.	Nguyễn Tường Vân war ein hoher Mandarin unter Gia Long und Minh Mạng: Kriegsminister und Markgraf von Nhuận Trạch. Vor dem Haus rühmt ihn ein Spruchpaar: „Das Haus des Markgrafen von Nhuận Trạch, dessen Kraft bis über die Meere gebietet; der Kriegsminister, dessen Ruf sich durch ganz Vietnam verbreitet.“ Dieses Amt entspricht heute dem Verteidigungsminister.
destinations.json::[12].quizBank[1].question	Phần trung tâm của ngôi nhà này được sử dụng để làm gì?	Wozu dient der Mittelraum des Hauses?
destinations.json::[12].quizBank[1].options[0]	Sáng tác văn chương	Zum Schreiben
destinations.json::[12].quizBank[1].options[1]	Thờ cúng	Für den Ahnenkult
destinations.json::[12].quizBank[1].options[2]	Tiếp khách	Zum Empfang von Gästen
destinations.json::[12].quizBank[1].explain	Trước gian thờ là hoành phi ghi bốn chữ “Nguyễn Tường từ đường”, hai bên là liễn đối: “Thiên tải tần phồn truy viễn, thử tâm hà cảm giải. Nhất diên tu tiến đốc thân, tư niệm khởi năng vong.” Tạm dịch: Ngàn năm dâng lễ cúng tế tưởng nhớ tổ tiên, tấm lòng này sao dám trễ nải. Một mâm cúng dâng món ngon hiếu kính người thân, đạo lý này há thể nào quên.	Vor dem Altar hängt eine Tafel mit vier Zeichen: „Ahnentempel Nguyễn Tường“, flankiert von einem Spruchpaar: „Tausend Jahre Opfergaben zum Gedenken an die Ahnen — wie dürfte dieses Herz erlahmen? Ein Tablett guter Speisen aus kindlicher Ehrfurcht — wie ließe sich diese Pflicht vergessen?“
destinations.json::[12].quizBank[2].question	Tác giả nào là hậu duệ của tộc Nguyễn Tường?	Welcher Schriftsteller stammt aus der Nguyễn-Tường-Linie?
destinations.json::[12].quizBank[2].options[0]	Nguyên Hồng	Nguyên Hồng
destinations.json::[12].quizBank[2].options[1]	Khái Hưng	Khái Hưng
destinations.json::[12].quizBank[2].options[2]	Thạch Lam	Thạch Lam
destinations.json::[12].quizBank[2].explain	Thạch Lam là hậu duệ của dòng họ khoa bảng Nguyễn Tường. Tuy vậy, cuộc đời sáng tác của ông gắn liền với phố huyện Cẩm Giàng (Hải Dương) và Hà Nội. Ông viết về một chiều hoàng hôn ở phố huyện tù đọng và bị lề hóa: “Tiếng trống thu không trên cái chòi của huyện nhỏ; từng tiếng một vang ra để gọi buổi chiều. Phương tây đỏ rực như lửa cháy và những áng mây ánh hồng như hòn than sắp tàn. [...] Chiều, chiều rồi. Một chiều êm ả như ru, văng vẳng tiếng ếch nhái kêu ra ngoài đồng ruộng theo gió nhẹ đưa vào.”	Thạch Lam stammt aus der Gelehrtenfamilie Nguyễn Tường, doch sein Werk gehört zum Marktflecken Cẩm Giàng (Hải Dương) und zu Hanoi. Er schrieb über die Dämmerung in einem stillstehenden, abgelegenen Städtchen: „Vom Wachturm des kleinen Kreises schlägt die Trommel, Schlag um Schlag, und ruft den Abend. Der Westen glüht wie Feuer, die rosigen Wolken sind Glut, die verlöschen will. […] Abend, es ist Abend geworden. Ein Abend, sanft wie ein Wiegenlied; von den Feldern trägt der leichte Wind das Rufen der Frösche herein.“
destinations.json::[12].short	Câu chuyện về dòng họ được khai cơ bởi một vị Thượng thư – cội nguồn của những nhà văn lớn thế kỷ XX.	Die Geschichte einer Familie, gegründet von einem Minister — die Wurzel großer Schriftsteller des 20. Jahrhunderts.
destinations.json::[12].highlights[0]	Các tác phẩm của nhóm Tự Lực Văn Đoàn	Die Werke der Tự-Lực-Văn-Đoàn-Autoren
destinations.json::[12].highlights[1]	Sắc phong của bốn triều vua	Königliche Urkunden aus vier Regierungszeiten
destinations.json::[12].highlights[2]	Không gian thờ tự trang nghiêm	Der feierliche Kultraum
destinations.json::[13].name	Nhà cổ Phùng Hưng	Das alte Haus Phùng Hưng
destinations.json::[13].description	Mong muốn gia đình sẽ làm ăn ngày càng phát đạt, vị thương nhân đã đặt tên cho ngôi nhà là “Phùng Hưng” - cũng là tên hiệu buôn của ông, mang nghĩa là “hưng thịnh”.	In der Hoffnung, das Geschäft der Familie möge immer besser gehen, nannte der Kaufmann das Haus „Phùng Hưng“ — auch der Name seines Handelshauses — was „Gedeihen“ bedeutet.
destinations.json::[13].quizBank[0].question	Hai bộ tranh này được tạo ra bằng kỹ nghệ gì?	In welcher Technik sind diese beiden Tafeln gemacht?
destinations.json::[13].quizBank[0].options[0]	Pháp lam	Emailmalerei
destinations.json::[13].quizBank[0].options[1]	Cẩn xà cừ	Perlmutt-Einlegearbeit
destinations.json::[13].quizBank[0].options[2]	Ghép sành sứ	Keramikscherben-Mosaik
destinations.json::[13].quizBank[0].explain	Cẩn xà cừ (khảm trai) là nghề thủ công truyền thống lâu đời tại Việt Nam, dùng các mảnh vỏ trai, vỏ ốc cắt gọt tinh xảo để cẩn lên bề mặt gỗ, kim loại hoặc sơn mài. Các chi tiết cẩn xà cừ có độ óng ánh, đổi màu theo góc nhìn.	Perlmutt-Einlegearbeit ist ein altes traditionelles Handwerk Vietnams: feinst geschnittene Muschel- und Schneckenschalen werden in Holz, Metall oder Lack eingelegt. Perlmutt schimmert und wechselt die Farbe je nach Blickwinkel.
destinations.json::[13].quizBank[1].question	Chiếc cửa sập trong nhà dùng để làm gì?	Wozu diente diese Klappe im Haus?
destinations.json::[13].quizBank[1].options[0]	Đi lại giữa gác và tầng trệt	Um zwischen Zwischengeschoss und Erdgeschoss zu gehen
destinations.json::[13].quizBank[1].options[1]	Thông gió	Zur Belüftung
destinations.json::[13].quizBank[1].options[2]	Chuyển hàng hóa, đồ đạc lên tầng	Um Waren und Möbel nach oben zu ziehen
destinations.json::[13].quizBank[1].explain	Xưa kia, do phố cổ Hội An nằm gần sông và hay bị ngập lụt mùa nước lên, chủ nhà dùng cửa sập này để nhanh chóng chuyển và kéo hàng hóa từ tầng trệt lên gác lửng nhằm tránh lũ.	Die Altstadt von Hội An lag nah am Fluss und wurde bei Hochwasser oft überflutet; durch diese Klappe zogen die Bewohner die Waren schnell vom Erdgeschoss ins Zwischengeschoss.
destinations.json::[13].quizBank[2].question	Bộ tượng này là nhân hóa của các giá trị gì?	Welche Werte verkörpern diese drei Figuren?
destinations.json::[13].quizBank[2].options[0]	Phúc - Lộc - Thọ	Glück, Wohlstand, Langes Leben
destinations.json::[13].quizBank[2].options[1]	Tòng Phụ - Tòng Phu - Tòng Tử	Die „drei Gehorsamkeiten“: dem Vater, dem Gatten, dem Sohn
destinations.json::[13].quizBank[2].options[2]	Nhân - Lễ - Nghĩa	Menschlichkeit, Ritus, Gerechtigkeit
destinations.json::[13].quizBank[2].explain	Phúc Lộc Thọ (hay Tam Đa) là biểu tượng trong văn hóa Á Đông tượng trưng cho ba điều ước lớn nhất của đời người: may mắn/hạnh phúc (Phúc), sự thịnh vượng/giàu sang (Lộc), và sức khỏe/sống lâu (Thọ).	Phúc Lộc Thọ, die „Drei Fülle“, ist ein Symbol ostasiatischer Kultur für die drei großen Lebenswünsche: Glück (Phúc), Wohlstand (Lộc), Gesundheit und langes Leben (Thọ).
destinations.json::[13].short	Nhà cổ rộng rãi, với kiến trúc pha trộn từ ba nền văn hoá Việt - Nhật - Trung	Ein weiträumiges altes Haus, in dem sich drei Kulturen mischen: vietnamesisch, japanisch, chinesisch
destinations.json::[13].highlights[0]	Các bộ tranh được tạo bằng kỹ thuật truyền thống	Bildtafeln in traditioneller Technik
destinations.json::[13].highlights[1]	Mái nhà giữa được thiết kế theo kiểu "tứ hải" của Nhật Bản	Das Mitteldach in der japanischen „Vier-Meere“-Form
destinations.json::[13].highlights[2]	Bộ liễn đối theo lối “hồi văn” - dù đọc xuôi hay đọc ngược thì ý nghĩa không đổi	Das „Palindrom“-Spruchpaar: vor- wie rückwärts gelesen derselbe Sinn
destinations.json::[14].name	Nhà cổ Quân Thắng	Das alte Haus Quân Thắng
destinations.json::[14].description	Nhà cổ Quân Thắng được xây dựng vào khoảng cuối thế kỷ 17, pha trộn giữa phong cách Trung Hoa và Việt Nam.	Das Haus Quân Thắng entstand um das Ende des 17. Jahrhunderts und mischt chinesische und vietnamesische Stilelemente.
destinations.json::[14].quizBank[0].question	Chủ nhân đầu tiên của ngôi nhà này là ai?	Wer war der erste Besitzer des Hauses?
destinations.json::[14].quizBank[0].options[0]	Chủ hiệu sách	Ein Buchhändler
destinations.json::[14].quizBank[0].options[1]	Thương nhân buôn gốm	Ein Keramikhändler
destinations.json::[14].quizBank[0].options[2]	Thương nhân kinh doanh hàng hóa quý hiếm	Ein Händler seltener, kostbarer Waren
destinations.json::[14].quizBank[0].explain	Chủ nhân đầu tiên là ông Quân Thắng, một thương nhân người Hoa giàu có bậc nhất tại phố Hội thời xưa. Bà Diệp Ái Phương (cháu đời thứ 7 của thương nhân Quân Thắng) cho biết, ban đầu nơi đây là một hiệu buôn sầm uất, chuyên kinh doanh các loại hàng hóa quý hiếm.	Der erste Besitzer war Herr Quân Thắng, einer der reichsten chinesischen Kaufleute im alten Hội An. Nach Frau Diệp Ái Phương, Nachfahrin in siebter Generation, war das Haus zunächst ein blühendes Geschäft für seltene, kostbare Waren.
destinations.json::[14].quizBank[1].question	Những con số này biểu thị điều gì?	Was markieren diese Zahlen?
destinations.json::[14].quizBank[1].options[0]	Mốc nước lũ theo từng năm	Den Hochwasserstand Jahr für Jahr
destinations.json::[14].quizBank[1].options[1]	Chiều cao của các loại cây kiểng khác nhau	Die Höhe verschiedener Zierpflanzen
destinations.json::[14].quizBank[1].options[2]	Chiều cao các thành viên trong gia đình	Die Körpergröße der Familienmitglieder
destinations.json::[14].quizBank[1].explain	Bà Diệp Ái Phương cho biết việc ghi dấu mực nước trên cột gỗ đã có từ thời ông cha để lại. Con cháu trong dòng họ vẫn tiếp tục gìn giữ, bảo tồn. Trong những ngày lũ, gia đình bà chuyển toàn bộ sinh hoạt lên tầng 2 để đảm bảo an toàn. Trên cột nhà có ghi lại trận lũ Giáp Thìn 1964, một trận "đại hồng thủy" gây thiệt hại nghiêm trọng cho các tỉnh miền Trung từ Huế đến Bình Định (cũ).	Frau Diệp Ái Phương erzählt, das Anschreiben des Wasserstands am Holzpfeiler komme von den Großeltern und werde von den Nachkommen weitergeführt. An Hochwassertagen zog die ganze Familie ins Obergeschoss. Der Pfeiler hält auch die große Flut von 1964 fest — eine „Sintflut“, die die zentralen Provinzen von Huế bis zum alten Bình Định schwer traf.
destinations.json::[14].quizBank[2].question	Hình ảnh được chạm trên cuốn thư ở giếng trời là gì?	Welches Motiv ist auf der Schriftrolle am Lichtschacht geschnitzt?
destinations.json::[14].quizBank[2].options[0]	Hoa cúc và chim trĩ	Chrysantheme und Fasan
destinations.json::[14].quizBank[2].options[1]	Cây tùng và hươu	Kiefer und Hirsch
destinations.json::[14].quizBank[2].options[2]	Cây tùng và hạc	Kiefer und Kranich
destinations.json::[14].quizBank[2].explain	Hình ảnh tùng và hươu là một hình ảnh phổ biến trong trang trí ở Đông Á, trong đó cây tùng diện cho sức sống bền bỉ, sự hiên ngang và khí tiết vượt qua nghịch cảnh còn hươu (âm Hán Việt là “lộc”) có phát âm tương tự chữ "lộc" (tài lộc, bổng lộc). Trong kiến trúc nhà ống dài không có cửa sổ bên hông, thiên tỉnh là nguồn cung cấp ánh sáng và khí trời duy nhất. Ở ngay sát cửa có thể thấy hai bài vị thờ “Thiên quan tứ phúc” và “Tư mệnh táo quân”. Thờ cúng ông Thiên là truyền thống của nhiều gia đình người Hoa. Bài vị thờ “Thiên quan tứ phúc” sẽ được đặt ở nơi thoáng đãng, lộ thiên để đón phúc khí.	Kiefer und Hirsch sind ein häufiges Paar in ostasiatischem Schmuck: Die Kiefer steht für zähe Lebenskraft, Aufrichtigkeit und Standhaftigkeit im Unglück; der Hirsch, sino-vietnamesisch lộc, klingt wie lộc — Reichtum und Amtsgehalt. In einem Röhrenhaus ohne Seitenfenster ist der Lichtschacht der einzige Weg für Licht und Luft. Neben der Tür stehen zwei Tafeln: „Thiên quan tứ phúc“ und der Küchengott. Der Himmelskult ist Tradition in vielen chinesischen Familien; die Tafel „Thiên quan tứ phúc“ steht offen unter freiem Himmel, um den Glückshauch zu empfangen.
destinations.json::[14].short	Ngôi nhà hơn 300 tuổi mang văn hoá người Hoa	Ein über 300 Jahre altes Haus, das chinesische Kultur bewahrt
destinations.json::[14].highlights[0]	Kiến trúc nhà ống đặc trưng của Hội An	Der für Hội An typische Röhrenhaus-Grundriss
destinations.json::[14].highlights[1]	Các chi tiết điêu khắc gỗ tinh xảo	Fein geschnitzte Holzdetails
destinations.json::[14].highlights[2]	Nội thất và trang trí của cộng đồng người Hoa	Möbel und Schmuck der chinesischen Gemeinschaft
destinations.json::[15].name	Nhà cổ Đức An	Das alte Haus Đức An
destinations.json::[15].description	Một ngôi nhà ghi lại quá trình phát triển của phong trào yêu nước đầu thế kỷ XX, từ phong trào Duy Tân cho đến hoạt động cách mạng của Đảng Cộng sản.	Ein Haus, das die patriotische Bewegung des frühen 20. Jahrhunderts festhält — von der Duy-Tân-Bewegung bis zur revolutionären Arbeit der Kommunistischen Partei.
destinations.json::[15].quizBank[0].question	Trước kia nhà Đức An từng bán sách của tác giả nào?	Wessen Bücher verkaufte das Haus Đức An früher?
destinations.json::[15].quizBank[0].options[0]	Sách của Khang Hữu Vi, Lương Khải Siêu	Die von Kang Youwei und Liang Qichao
destinations.json::[15].quizBank[0].options[1]	Sách của Hà Ân Chấn	Die von He Enzhen
destinations.json::[15].quizBank[0].options[2]	Sách của Cù Thu Bạch	Die von Qu Qiubai
destinations.json::[15].quizBank[0].explain	Từ cuối thế kỷ XIX, ngôi Nhà Đức An là nơi bán sách, chủ yếu là sách tiếng Hoa của tác giả Khang Hữu Vi, Lương Khải Siêu,... Trong thời gian này, các nhà yêu nước kháng Pháp như Huỳnh Thúc Kháng, Trần Quý Cáp... thường lui tới để đặt mua những cuốn sách có nội dung tư tưởng tiến bộ. Cụ Trần Quý Cáp đã cho gia chủ các chữ được ghi trên liễn đối: “Vân trình ngũ sắc văn minh thịnh; Vạn tuế tam xuân khí tượng tân” (có nghĩa: Mây quý hiển linh giúp nền văn minh rực rỡ; Vạn năm khí sắc xuân lành), thể hiện khát khao canh tân, phát triển đất nước.	Seit dem Ende des 19. Jahrhunderts war das Haus Đức An eine Buchhandlung, die vor allem chinesische Werke von Kang Youwei, Liang Qichao und anderen verkaufte. In diesen Jahren kamen antikoloniale Patrioten wie Huỳnh Thúc Kháng und Trần Quý Cáp oft, um Bücher mit fortschrittlichen Ideen zu bestellen. Trần Quý Cáp schenkte dem Hausherrn dieses Spruchpaar: „Fünffarbige Glückswolken lassen die Zivilisation erstrahlen; zehntausend Jahre Frühling bringen neue Luft“ — der Wunsch, das Land zu erneuern und zu entwickeln.
destinations.json::[15].quizBank[1].question	Vì sao hiệu Đức An chuyển sang bán thuốc bắc?	Warum ging das Haus Đức An zum Verkauf chinesischer Arzneien über?
destinations.json::[15].quizBank[1].options[0]	Hiệu Đức An gặp được nguồn cung thuốc tốt	Weil sie eine gute Bezugsquelle fand
destinations.json::[15].quizBank[1].options[1]	Thực dân Pháp đàn áp Trung Kỳ dân biến	Weil die Franzosen den Volksaufstand in Zentralvietnam niederschlugen
destinations.json::[15].quizBank[1].options[2]	Việc bán sách không còn thu được lợi nhuận	Weil der Buchhandel nichts mehr eintrug
destinations.json::[15].quizBank[1].explain	Sau sự kiện chống thuế năm 1908, nhà Đức An chuyển sang bán thuốc Bắc hòa vào việc buôn bán tấp nập cùng nhiều hiệu thuốc Bắc ở Hội An song vẫn là điểm hẹn gặp gỡ của các chí sĩ yêu nước trong khu vực. Trong vụ dân biến này, nông dân kéo nhau thành từng đoàn đến bao vây các dinh công sứ Pháp để nộp đơn xin giảm sưu thuế. Thực dân Pháp sau đó đã dùng vũ lực đàn áp đẫm máu, bắt bớ và đày ải nhiều sĩ phu, nông dân yêu nước.	Nach dem Steuerprotest von 1908 wandte sich Đức An dem Handel mit chinesischen Arzneien zu und nahm am regen Geschäft der Apotheken von Hội An teil — blieb aber Treffpunkt der Patrioten der Gegend. Bei jenem Aufstand zogen Bauern in Scharen vor die französischen Residenzen und übergaben Bittschriften um Senkung von Frondienst und Steuern. Die Kolonialmacht schlug den Protest blutig nieder und verhaftete und verbannte viele Gelehrte und patriotische Bauern.
destinations.json::[15].quizBank[2].question	Từ năm 1927 đến năm 1934, chủ nhà Đức An đã sử dụng nơi này để tổ chức những hoạt động gì?	Wofür nutzte der Hausherr von Đức An diesen Ort von 1927 bis 1934?
destinations.json::[15].quizBank[2].options[0]	Chẩn bệnh miễn phí cho người nghèo	Kostenlose Behandlung für Arme
destinations.json::[15].quizBank[2].options[1]	Gặp gỡ các cầu thủ của đội bóng Ô-rô	Treffen mit den Spielern der Ô-rô-Elf
destinations.json::[15].quizBank[2].options[2]	Liên lạc, hội họp của phong trào cách mạng	Verbindung und Treffen der revolutionären Bewegung
