path	vi	fr
destinations.json::[8].quizBank[0].explain	Một ghi chép từ năm 1600 cho thấy: “Kỳ nam hương màu đen, có dầu và giá 50 cruzados một catty nơi người Bồ Đào Nha, trong khi tại chính nơi sản xuất, nó trị giá ngang với bạc, bao nhiêu kỳ nam hương là bấy nhiêu bạc.” Nhiều thương nhân người Hoa sẵn sàng đợi cả năm chỉ để có đủ kỳ nam cho một chuyến tàu đến Nhật Bản, nơi giá cả được đẩy lên gấp 40 lần giá tại chỗ.	Un rapport de 1600 note : « Le kỳ nam est noir, huileux, et vaut 50 cruzados le catty chez les Portugais ; au lieu même de production, il valait son poids d'argent. » Bien des marchands chinois attendaient une année entière pour réunir de quoi charger un navire vers le Japon, où le prix montait jusqu'à quarante fois celui du pays.
destinations.json::[8].quizBank[1].question	Loại sản vật nào xuất hiện trên Cửu Đỉnh?	Lequel de ces produits figure sur les Neuf Urnes ?
destinations.json::[8].quizBank[1].options[0]	Lá lao	La feuille de lao
destinations.json::[8].quizBank[1].options[1]	Cau	L'arec
destinations.json::[8].quizBank[1].options[2]	Tiêu	Le poivre
destinations.json::[8].quizBank[1].explain	Cửu đỉnh là báu vật tượng trưng cho đế nghiệp muôn năm vững bền của triều Nguyễn, với 153 tấm họa tiết chạm nổi thể hiện phong cảnh, sản vật và con người Việt Nam. Trong số đó có 9 loại dược liệu và hương liệu quý, bao gồm kỳ nam, trầm hương, dâu tằm, tô hợp, yến sào, trầu không, cau, quế, và sâm ta.	Les Neuf Urnes dynastiques symbolisent la pérennité des Nguyễn : leurs 153 panneaux en relief montrent paysages, produits et gens du Viêt Nam. On y trouve neuf matières médicinales et aromatiques précieuses : kỳ nam, bois d'aloès, mûrier, storax, nids d'hirondelle, feuille de bétel, arec, cannelle et ginseng vietnamien.
destinations.json::[8].short	Một lát cắt về mạng lưới thương mại thế kỷ XVI-XVII thông qua các loại thổ sản.	Une coupe dans le réseau commercial des XVIe-XVIIe siècles, vue par les produits du pays.
destinations.json::[8].highlights[0]	Quá trình khai thác kỳ nam, lâm sản quý hiếm bậc nhất	La récolte du kỳ nam, le plus précieux produit de la forêt
destinations.json::[8].highlights[1]	Giá cả và tầm quan trọng của từng mặt hàng trong thị trường thổ sản	Le prix et le poids de chaque marchandise sur le marché
destinations.json::[8].highlights[2]	Những vật dụng sử dụng trong buôn bán	Les instruments du négoce
destinations.json::[9].name	Nhà trưng bày Văn hóa Nhật Bản	La maison d'exposition de la culture japonaise
destinations.json::[9].description	Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.	Une exposition sur le quartier japonais du vieux Hội An et sur l'archéologie du commerce japonais dans la ville.
destinations.json::[9].quizBank[0].question	Trong dòng búp bê Koga, con khỉ đang ôm loài vật gì?	Dans les poupées Koga, quel animal le singe tient-il ?
destinations.json::[9].quizBank[0].options[0]	Mèo	Un chat
destinations.json::[9].quizBank[0].options[1]	Gà	Un coq
destinations.json::[9].quizBank[0].options[2]	Chó	Un chien
destinations.json::[9].quizBank[0].explain	Hiện này là một mẫu thiết kế có tên gọi "Khỉ ôm gà" của dòng búp bê Koga truyền thống đến từ tỉnh Nagasaki. Thiết kế này là một sự kết hợp độc đáo tượng trưng cho sự chuyển giao của 12 con giáp từ năm Thân (Saru) sang năm Dậu (Tori). Trong văn hóa Nhật Bản, từ con khỉ (saru) là một cách chơi chữ đồng âm với từ "rời đi" (saru / 去る), mang ý nghĩa xua đuổi những điều xui xẻo hoặc vận rủi.	C'est un modèle appelé « le singe tenant le coq », parmi les poupées Koga traditionnelles de la préfecture de Nagasaki. Il réunit le passage du zodiaque de l'année du Singe (saru) à celle du Coq (tori). En japonais, saru, « singe », est l'homophone de saru (去る), « s'en aller » : la poupée chasse la malchance.
destinations.json::[9].short	Một vòng văn hóa Nhật Bản với những thực hành và món đồ chơi truyền thống	Un tour de la culture japonaise par ses pratiques et ses jouets traditionnels
destinations.json::[10].name	Nhà biểu diễn nghệ thuật cổ truyền Hội An	La maison des Arts traditionnels de Hội An
destinations.json::[10].description	Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.	Ouverte en 1996, cette maison des arts traditionnels a offert depuis lors beauté et plaisir à un large public, vietnamien comme étranger.
destinations.json::[11].name	Nhà thờ tộc Trần	La maison ancestrale des Trần
destinations.json::[11].description	Xuyên qua khu vườn yên ả là từ đường của tộc Trần, khởi dựng từ năm 1802 bởi một vị quan trước khi đi sứ sang Trung Quốc.	Au bout d'un jardin paisible se trouve la maison ancestrale des Trần, fondée en 1802 par un mandarin avant son départ en ambassade pour la Chine.
destinations.json::[11].quizBank[0].question	Con hổ trong bức tranh ở gian ngoài đang làm gì?	Que fait le tigre sur la peinture de la pièce extérieure ?
destinations.json::[11].quizBank[0].options[0]	Ngồi	Il est assis
destinations.json::[11].quizBank[0].options[1]	Nhảy qua suối	Il bondit par-dessus un ruisseau
destinations.json::[11].quizBank[0].options[2]	Gầm	Il rugit
destinations.json::[11].quizBank[0].explain	Trên bức tranh có viết hai chữ “Hổ khiếu” tức hổ gầm, tượng trưng cho sức mạnh dũng mãnh, uy lực vang dội, có thể xua đuổi tà khí.	La peinture porte deux caractères, « Hổ khiếu », le rugissement du tigre : force farouche, puissance qui porte loin, et le pouvoir d'écarter les mauvaises influences.
destinations.json::[11].quizBank[1].question	Khi muốn xin ý kiến của tổ tiên, chủ nhà sẽ thực hiện hành động gì?	Pour consulter les ancêtres, que fait le maître de maison ?
destinations.json::[11].quizBank[1].options[0]	Xin đài âm dương	Il jette les sorts yin-yang
destinations.json::[11].quizBank[1].options[1]	Xin báo mộng	Il demande un songe
destinations.json::[11].quizBank[1].options[2]	Xin giáng bút	Il demande une écriture inspirée
destinations.json::[11].quizBank[1].explain	Xin đài âm dương (xin keo) là nghi thức gieo hai đồng xu hoặc hai miếng gỗ bán nguyệt để hỏi ý kiến thần linh, gia tiên phù hộ về những việc hệ trọng như làm nhà, kinh doanh, thi cử, ốm đau...	Jeter les sorts yin-yang (xin keo) consiste à lancer deux pièces ou deux demi-lunes de bois pour interroger les dieux et les ancêtres — pour bâtir une maison, lancer un commerce, passer un examen, en cas de maladie.
destinations.json::[11].quizBank[2].question	Kết cấu kiến trúc này có tên là gì?	Comment s'appelle cette structure ?
destinations.json::[11].quizBank[2].options[0]	Vì giá chiêng	La ferme « à support de gong »
destinations.json::[11].quizBank[2].options[1]	Vì vỏ cua	La ferme « en carapace de crabe »
destinations.json::[11].quizBank[2].options[2]	Vì chồng rường giả thủ	La ferme « à poutres empilées, fausse tête »
destinations.json::[11].quizBank[2].explain	Vì vỏ cua là một kiểu kết cấu vì kèo gỗ truyền thống trong kiến trúc cổ của người Việt, thường gặp ở Hội An, Huế và các vùng lân cận. Các vì vỏ cua thường được thợ mộc chạm trổ hoa văn, họa tiết rất tinh xảo, vừa mang tính chịu lực đỡ mái vừa làm điểm nhấn trang trí cho không gian nội thất.	La ferme « en carapace de crabe » est une charpente de bois traditionnelle de l'architecture ancienne vietnamienne, courante à Hội An, à Huế et alentour. Les charpentiers y sculptent des motifs très fins : elle porte le toit et devient l'ornement de l'intérieur.
destinations.json::[11].short	Nhà thờ cổ 200 năm tuổi ẩn trong một khu vườn, với lối kiến trúc pha trộn từ ba nền văn hoá.	Une maison ancestrale de 200 ans cachée dans un jardin, où trois cultures se mêlent.
destinations.json::[11].highlights[0]	Kiến trúc nhà vườn cổ kính	L'architecture ancienne de la maison-jardin
destinations.json::[11].highlights[1]	Các cổ vật mang nhiều dấu ấn văn hoá	Des antiquités marquées par plusieurs cultures
destinations.json::[11].highlights[2]	Không gian thờ tự trang nghiêm	L'espace de culte, solennel
destinations.json::[12].name	Nhà thờ tộc Nguyễn Tường	La maison ancestrale des Nguyễn Tường
destinations.json::[12].description	Di tích gắn với sự phát tích của dòng họ Nguyễn Tường ở Hội An và của nhóm Tự Lực Văn Đoàn.	Un monument lié à l'essor de la lignée Nguyễn Tường à Hội An et au cercle littéraire Tự Lực Văn Đoàn.
destinations.json::[12].quizBank[0].question	Ngôi nhà này được xây dựng bởi ai?	Qui a bâti cette maison ?
destinations.json::[12].quizBank[0].options[0]	Một vị thượng thư triều Nguyễn	Un ministre de la cour des Nguyễn
destinations.json::[12].quizBank[0].options[1]	Một hoạ sĩ	Un peintre
destinations.json::[12].quizBank[0].options[2]	Một nhà văn	Un écrivain
destinations.json::[12].quizBank[0].explain	Nguyễn Tường Vân là một vị quan đại thần dưới triều vua Gia Long và Minh Mạng, từng giữ chức Binh bộ Thượng thư và mang tước Nhuận Trạch Hầu. Ngay trước nhà còn liễn đối ca ngợi ông: “Nhuận Trạch hầu gia khí thế trường tồn uy hải ngoại. Thượng thư Binh bộ thanh danh quảng bá Việt trung.” Chức Binh bộ Thượng thư tương đương với Bộ trưởng Bộ Quốc phòng ngày nay.	Nguyễn Tường Vân fut un grand mandarin sous Gia Long et Minh Mạng : ministre de la Guerre, titré marquis de Nhuận Trạch. Devant la maison, un distique le loue : « La maison du marquis de Nhuận Trạch, dont la force impose au-delà des mers ; le ministre de la Guerre, dont le renom se répand dans tout le Viêt Nam. » Ce ministère correspond au ministère de la Défense d'aujourd'hui.
destinations.json::[12].quizBank[1].question	Phần trung tâm của ngôi nhà này được sử dụng để làm gì?	À quoi sert la pièce centrale de la maison ?
destinations.json::[12].quizBank[1].options[0]	Sáng tác văn chương	À écrire
destinations.json::[12].quizBank[1].options[1]	Thờ cúng	Au culte des ancêtres
destinations.json::[12].quizBank[1].options[2]	Tiếp khách	À recevoir les hôtes
destinations.json::[12].quizBank[1].explain	Trước gian thờ là hoành phi ghi bốn chữ “Nguyễn Tường từ đường”, hai bên là liễn đối: “Thiên tải tần phồn truy viễn, thử tâm hà cảm giải. Nhất diên tu tiến đốc thân, tư niệm khởi năng vong.” Tạm dịch: Ngàn năm dâng lễ cúng tế tưởng nhớ tổ tiên, tấm lòng này sao dám trễ nải. Một mâm cúng dâng món ngon hiếu kính người thân, đạo lý này há thể nào quên.	Devant l'autel, un panneau de quatre caractères : « maison ancestrale Nguyễn Tường », encadré d'un distique : « Mille ans d'offrandes pour honorer les aïeux — comment ce cœur oserait-il faiblir ? Un plateau de mets pour la piété filiale — comment ce devoir pourrait-il s'oublier ? »
destinations.json::[12].quizBank[2].question	Tác giả nào là hậu duệ của tộc Nguyễn Tường?	Quel écrivain descend de la lignée Nguyễn Tường ?
destinations.json::[12].quizBank[2].options[0]	Nguyên Hồng	Nguyên Hồng
destinations.json::[12].quizBank[2].options[1]	Khái Hưng	Khái Hưng
destinations.json::[12].quizBank[2].options[2]	Thạch Lam	Thạch Lam
destinations.json::[12].quizBank[2].explain	Thạch Lam là hậu duệ của dòng họ khoa bảng Nguyễn Tường. Tuy vậy, cuộc đời sáng tác của ông gắn liền với phố huyện Cẩm Giàng (Hải Dương) và Hà Nội. Ông viết về một chiều hoàng hôn ở phố huyện tù đọng và bị lề hóa: “Tiếng trống thu không trên cái chòi của huyện nhỏ; từng tiếng một vang ra để gọi buổi chiều. Phương tây đỏ rực như lửa cháy và những áng mây ánh hồng như hòn than sắp tàn. [...] Chiều, chiều rồi. Một chiều êm ả như ru, văng vẳng tiếng ếch nhái kêu ra ngoài đồng ruộng theo gió nhẹ đưa vào.”	Thạch Lam descend de la lignée lettrée des Nguyễn Tường, mais son œuvre est liée au bourg de Cẩm Giàng (Hải Dương) et à Hanoï. Il a écrit le crépuscule d'un chef-lieu immobile et relégué : « Du mirador du petit district, le tambour du couvre-feu sonne, coup après coup, pour appeler le soir. L'ouest est rouge comme un incendie et les nuages rosés sont des braises près de s'éteindre. […] Le soir, voici le soir. Un soir doux comme une berceuse ; des rizières, le chant des grenouilles arrive porté par la brise. »
destinations.json::[12].short	Câu chuyện về dòng họ được khai cơ bởi một vị Thượng thư – cội nguồn của những nhà văn lớn thế kỷ XX.	L'histoire d'une lignée fondée par un ministre — la racine de grands écrivains du XXe siècle.
destinations.json::[12].highlights[0]	Các tác phẩm của nhóm Tự Lực Văn Đoàn	Les œuvres des écrivains du Tự Lực Văn Đoàn
destinations.json::[12].highlights[1]	Sắc phong của bốn triều vua	Les brevets royaux de quatre règnes
destinations.json::[12].highlights[2]	Không gian thờ tự trang nghiêm	L'espace de culte, solennel
destinations.json::[13].name	Nhà cổ Phùng Hưng	La maison ancienne Phùng Hưng
destinations.json::[13].description	Mong muốn gia đình sẽ làm ăn ngày càng phát đạt, vị thương nhân đã đặt tên cho ngôi nhà là “Phùng Hưng” - cũng là tên hiệu buôn của ông, mang nghĩa là “hưng thịnh”.	Souhaitant que les affaires de sa famille prospèrent toujours plus, le marchand nomma la maison « Phùng Hưng » — aussi l'enseigne de son commerce — qui signifie « prospérité ».
destinations.json::[13].quizBank[0].question	Hai bộ tranh này được tạo ra bằng kỹ nghệ gì?	Par quelle technique ces deux panneaux ont-ils été faits ?
destinations.json::[13].quizBank[0].options[0]	Pháp lam	L'émail
destinations.json::[13].quizBank[0].options[1]	Cẩn xà cừ	La marqueterie de nacre
destinations.json::[13].quizBank[0].options[2]	Ghép sành sứ	La mosaïque de tessons
destinations.json::[13].quizBank[0].explain	Cẩn xà cừ (khảm trai) là nghề thủ công truyền thống lâu đời tại Việt Nam, dùng các mảnh vỏ trai, vỏ ốc cắt gọt tinh xảo để cẩn lên bề mặt gỗ, kim loại hoặc sơn mài. Các chi tiết cẩn xà cừ có độ óng ánh, đổi màu theo góc nhìn.	La marqueterie de nacre est un artisanat traditionnel ancien du Viêt Nam : des morceaux de coquillage, découpés très finement, sont incrustés dans le bois, le métal ou la laque. La nacre chatoie et change de couleur selon l'angle.
destinations.json::[13].quizBank[1].question	Chiếc cửa sập trong nhà dùng để làm gì?	À quoi servait cette trappe dans la maison ?
destinations.json::[13].quizBank[1].options[0]	Đi lại giữa gác và tầng trệt	À circuler entre l'entresol et le rez-de-chaussée
destinations.json::[13].quizBank[1].options[1]	Thông gió	À ventiler
destinations.json::[13].quizBank[1].options[2]	Chuyển hàng hóa, đồ đạc lên tầng	À hisser marchandises et meubles à l'étage
destinations.json::[13].quizBank[1].explain	Xưa kia, do phố cổ Hội An nằm gần sông và hay bị ngập lụt mùa nước lên, chủ nhà dùng cửa sập này để nhanh chóng chuyển và kéo hàng hóa từ tầng trệt lên gác lửng nhằm tránh lũ.	Autrefois, le vieux Hội An, proche du fleuve, était souvent inondé à la montée des eaux : par cette trappe, les habitants hissaient vite les marchandises du rez-de-chaussée vers l'entresol.
destinations.json::[13].quizBank[2].question	Bộ tượng này là nhân hóa của các giá trị gì?	Quelles valeurs ces trois statues incarnent-elles ?
destinations.json::[13].quizBank[2].options[0]	Phúc - Lộc - Thọ	Bonheur, Prospérité, Longévité
destinations.json::[13].quizBank[2].options[1]	Tòng Phụ - Tòng Phu - Tòng Tử	Les « trois obédiences » : au père, à l'époux, au fils
destinations.json::[13].quizBank[2].options[2]	Nhân - Lễ - Nghĩa	Humanité, Rite, Justice
destinations.json::[13].quizBank[2].explain	Phúc Lộc Thọ (hay Tam Đa) là biểu tượng trong văn hóa Á Đông tượng trưng cho ba điều ước lớn nhất của đời người: may mắn/hạnh phúc (Phúc), sự thịnh vượng/giàu sang (Lộc), và sức khỏe/sống lâu (Thọ).	Phúc Lộc Thọ, les « Trois Abondances », est un symbole de la culture d'Asie orientale : les trois grands souhaits d'une vie — la chance et le bonheur (Phúc), la prospérité (Lộc), la santé et la longévité (Thọ).
destinations.json::[13].short	Nhà cổ rộng rãi, với kiến trúc pha trộn từ ba nền văn hoá Việt - Nhật - Trung	Une vaste maison ancienne où se mêlent trois cultures : vietnamienne, japonaise, chinoise
destinations.json::[13].highlights[0]	Các bộ tranh được tạo bằng kỹ thuật truyền thống	Les panneaux réalisés selon des techniques traditionnelles
destinations.json::[13].highlights[1]	Mái nhà giữa được thiết kế theo kiểu "tứ hải" của Nhật Bản	Le toit central, de forme japonaise dite « quatre mers »
destinations.json::[13].highlights[2]	Bộ liễn đối theo lối “hồi văn” - dù đọc xuôi hay đọc ngược thì ý nghĩa không đổi	Le distique « palindrome » : le sens reste le même à l'endroit comme à l'envers
destinations.json::[14].name	Nhà cổ Quân Thắng	La maison ancienne Quân Thắng
destinations.json::[14].description	Nhà cổ Quân Thắng được xây dựng vào khoảng cuối thế kỷ 17, pha trộn giữa phong cách Trung Hoa và Việt Nam.	La maison Quân Thắng a été bâtie vers la fin du XVIIe siècle, dans un mélange de styles chinois et vietnamien.
destinations.json::[14].quizBank[0].question	Chủ nhân đầu tiên của ngôi nhà này là ai?	Qui fut le premier propriétaire de la maison ?
destinations.json::[14].quizBank[0].options[0]	Chủ hiệu sách	Un libraire
destinations.json::[14].quizBank[0].options[1]	Thương nhân buôn gốm	Un marchand de céramique
destinations.json::[14].quizBank[0].options[2]	Thương nhân kinh doanh hàng hóa quý hiếm	Un marchand de produits rares et précieux
destinations.json::[14].quizBank[0].explain	Chủ nhân đầu tiên là ông Quân Thắng, một thương nhân người Hoa giàu có bậc nhất tại phố Hội thời xưa. Bà Diệp Ái Phương (cháu đời thứ 7 của thương nhân Quân Thắng) cho biết, ban đầu nơi đây là một hiệu buôn sầm uất, chuyên kinh doanh các loại hàng hóa quý hiếm.	Le premier propriétaire fut M. Quân Thắng, l'un des marchands chinois les plus riches du vieux Hội An. Selon Mme Diệp Ái Phương, descendante à la septième génération, la maison était d'abord un commerce florissant spécialisé dans les marchandises rares.
destinations.json::[14].quizBank[1].question	Những con số này biểu thị điều gì?	Que marquent ces chiffres ?
destinations.json::[14].quizBank[1].options[0]	Mốc nước lũ theo từng năm	Le niveau des crues, année par année
destinations.json::[14].quizBank[1].options[1]	Chiều cao của các loại cây kiểng khác nhau	La hauteur des différents bonsaïs
destinations.json::[14].quizBank[1].options[2]	Chiều cao các thành viên trong gia đình	La taille des membres de la famille
destinations.json::[14].quizBank[1].explain	Bà Diệp Ái Phương cho biết việc ghi dấu mực nước trên cột gỗ đã có từ thời ông cha để lại. Con cháu trong dòng họ vẫn tiếp tục gìn giữ, bảo tồn. Trong những ngày lũ, gia đình bà chuyển toàn bộ sinh hoạt lên tầng 2 để đảm bảo an toàn. Trên cột nhà có ghi lại trận lũ Giáp Thìn 1964, một trận "đại hồng thủy" gây thiệt hại nghiêm trọng cho các tỉnh miền Trung từ Huế đến Bình Định (cũ).	Mme Diệp Ái Phương raconte que marquer le niveau de l'eau sur le pilier de bois vient de ses aïeux et que les descendants l'ont conservé. Les jours de crue, toute la famille vivait à l'étage. Le pilier garde aussi la trace de la grande crue de 1964, ce « déluge » qui frappa durement les provinces du centre, de Huế à l'ancienne Bình Định.
destinations.json::[14].quizBank[2].question	Hình ảnh được chạm trên cuốn thư ở giếng trời là gì?	Quel motif est sculpté sur le cartouche au-dessus du puits de lumière ?
destinations.json::[14].quizBank[2].options[0]	Hoa cúc và chim trĩ	Le chrysanthème et le faisan
destinations.json::[14].quizBank[2].options[1]	Cây tùng và hươu	Le pin et le cerf
destinations.json::[14].quizBank[2].options[2]	Cây tùng và hạc	Le pin et la grue
destinations.json::[14].quizBank[2].explain	Hình ảnh tùng và hươu là một hình ảnh phổ biến trong trang trí ở Đông Á, trong đó cây tùng diện cho sức sống bền bỉ, sự hiên ngang và khí tiết vượt qua nghịch cảnh còn hươu (âm Hán Việt là “lộc”) có phát âm tương tự chữ "lộc" (tài lộc, bổng lộc). Trong kiến trúc nhà ống dài không có cửa sổ bên hông, thiên tỉnh là nguồn cung cấp ánh sáng và khí trời duy nhất. Ở ngay sát cửa có thể thấy hai bài vị thờ “Thiên quan tứ phúc” và “Tư mệnh táo quân”. Thờ cúng ông Thiên là truyền thống của nhiều gia đình người Hoa. Bài vị thờ “Thiên quan tứ phúc” sẽ được đặt ở nơi thoáng đãng, lộ thiên để đón phúc khí.	Le pin et le cerf forment un couple courant dans l'ornement d'Asie orientale : le pin dit la vitalité tenace, la droiture et la fermeté dans l'adversité ; le cerf, lộc en sino-vietnamien, sonne comme lộc, la fortune et les émoluments. Dans une maison-tube sans fenêtres latérales, le puits de lumière est la seule entrée de jour et d'air. Près de la porte, deux tablettes : « Thiên quan tứ phúc » et le dieu du Foyer. Le culte du Ciel est une tradition de bien des familles chinoises ; la tablette « Thiên quan tứ phúc » se place à l'air libre, pour recueillir le souffle du bonheur.
destinations.json::[14].short	Ngôi nhà hơn 300 tuổi mang văn hoá người Hoa	Une maison de plus de 300 ans qui porte la culture chinoise
destinations.json::[14].highlights[0]	Kiến trúc nhà ống đặc trưng của Hội An	Le plan en « maison-tube » propre à Hội An
destinations.json::[14].highlights[1]	Các chi tiết điêu khắc gỗ tinh xảo	Les détails finement sculptés dans le bois
destinations.json::[14].highlights[2]	Nội thất và trang trí của cộng đồng người Hoa	Le mobilier et l'ornement de la communauté chinoise
destinations.json::[15].name	Nhà cổ Đức An	La maison ancienne Đức An
destinations.json::[15].description	Một ngôi nhà ghi lại quá trình phát triển của phong trào yêu nước đầu thế kỷ XX, từ phong trào Duy Tân cho đến hoạt động cách mạng của Đảng Cộng sản.	Une maison qui garde la trace du mouvement patriotique du début du XXe siècle, du mouvement Duy Tân à l'action révolutionnaire du Parti communiste.
destinations.json::[15].quizBank[0].question	Trước kia nhà Đức An từng bán sách của tác giả nào?	Autrefois, la maison Đức An vendait les livres de quels auteurs ?
destinations.json::[15].quizBank[0].options[0]	Sách của Khang Hữu Vi, Lương Khải Siêu	Ceux de Kang Youwei et Liang Qichao
destinations.json::[15].quizBank[0].options[1]	Sách của Hà Ân Chấn	Ceux de He Enzhen
destinations.json::[15].quizBank[0].options[2]	Sách của Cù Thu Bạch	Ceux de Qu Qiubai
destinations.json::[15].quizBank[0].explain	Từ cuối thế kỷ XIX, ngôi Nhà Đức An là nơi bán sách, chủ yếu là sách tiếng Hoa của tác giả Khang Hữu Vi, Lương Khải Siêu,... Trong thời gian này, các nhà yêu nước kháng Pháp như Huỳnh Thúc Kháng, Trần Quý Cáp... thường lui tới để đặt mua những cuốn sách có nội dung tư tưởng tiến bộ. Cụ Trần Quý Cáp đã cho gia chủ các chữ được ghi trên liễn đối: “Vân trình ngũ sắc văn minh thịnh; Vạn tuế tam xuân khí tượng tân” (có nghĩa: Mây quý hiển linh giúp nền văn minh rực rỡ; Vạn năm khí sắc xuân lành), thể hiện khát khao canh tân, phát triển đất nước.	Dès la fin du XIXe siècle, la maison Đức An était une librairie vendant surtout des ouvrages chinois de Kang Youwei, Liang Qichao et d'autres. À cette époque, des patriotes anticoloniaux comme Huỳnh Thúc Kháng et Trần Quý Cáp venaient souvent y commander des livres d'idées nouvelles. Trần Quý Cáp offrit au maître de maison ce distique : « Les nuages aux cinq couleurs, propices, font resplendir la civilisation ; dix mille ans de printemps donnent un air nouveau » — le désir de réformer et de développer le pays.
destinations.json::[15].quizBank[1].question	Vì sao hiệu Đức An chuyển sang bán thuốc bắc?	Pourquoi la maison Đức An s'est-elle mise à vendre des remèdes chinois ?
destinations.json::[15].quizBank[1].options[0]	Hiệu Đức An gặp được nguồn cung thuốc tốt	Parce qu'elle avait trouvé un bon fournisseur
destinations.json::[15].quizBank[1].options[1]	Thực dân Pháp đàn áp Trung Kỳ dân biến	Parce que les Français réprimèrent la révolte populaire du Centre
destinations.json::[15].quizBank[1].options[2]	Việc bán sách không còn thu được lợi nhuận	Parce que la librairie n'était plus rentable
destinations.json::[15].quizBank[1].explain	Sau sự kiện chống thuế năm 1908, nhà Đức An chuyển sang bán thuốc Bắc hòa vào việc buôn bán tấp nập cùng nhiều hiệu thuốc Bắc ở Hội An song vẫn là điểm hẹn gặp gỡ của các chí sĩ yêu nước trong khu vực. Trong vụ dân biến này, nông dân kéo nhau thành từng đoàn đến bao vây các dinh công sứ Pháp để nộp đơn xin giảm sưu thuế. Thực dân Pháp sau đó đã dùng vũ lực đàn áp đẫm máu, bắt bớ và đày ải nhiều sĩ phu, nông dân yêu nước.	Après la révolte antifiscale de 1908, Đức An se tourna vers la pharmacopée chinoise et prit part au commerce animé des officines de Hội An, tout en restant un lieu de rendez-vous des patriotes de la région. Lors de cette révolte, les paysans marchèrent en cortèges encercler les résidences françaises pour déposer des pétitions demandant la réduction des corvées et des impôts. Les colons répondirent par une répression sanglante, arrêtant et déportant de nombreux lettrés et paysans patriotes.
destinations.json::[15].quizBank[2].question	Từ năm 1927 đến năm 1934, chủ nhà Đức An đã sử dụng nơi này để tổ chức những hoạt động gì?	De 1927 à 1934, à quelles activités le maître de Đức An a-t-il consacré ce lieu ?
destinations.json::[15].quizBank[2].options[0]	Chẩn bệnh miễn phí cho người nghèo	Des consultations gratuites pour les pauvres
destinations.json::[15].quizBank[2].options[1]	Gặp gỡ các cầu thủ của đội bóng Ô-rô	Des rencontres avec les joueurs de l'équipe Ô-rô
destinations.json::[15].quizBank[2].options[2]	Liên lạc, hội họp của phong trào cách mạng	La liaison et les réunions du mouvement révolutionnaire
destinations.json::[15].quizBank[2].explain	Tháng 10/1927, tại chính căn nhà này, đồng chí Năm Thêm chủ trì cuộc họp thành lập Hội Việt Nam Cách mạng Thanh niên Hội An. Từ ngày 28/03/1930, Tỉnh ủy Đảng Cộng sản Việt Nam Quảng Nam được thành lập ở Hội An, nhà Đức An tiếp tục trở thành nơi liên lạc và tổ chức hội họp của Đảng. Năm 1934, do sự chỉ dẫn của mật thám, lính Pháp đã đến lục soát ngôi nhà này và tìm thấy một vài tài liệu tiếng nước ngoài. Từ đó, nhà Đức An tạm đình chỉ làm nơi liên lạc của Đảng.	En octobre 1927, c'est dans cette maison que le camarade Năm Thêm présida la réunion fondant la section de Hội An de l'Association de la jeunesse révolutionnaire du Viêt Nam. À partir du 28 mars 1930, quand le comité provincial du Parti de Quảng Nam fut créé à Hội An, Đức An resta un point de liaison et de réunion. En 1934, sur dénonciation d'indicateurs, des soldats français fouillèrent la maison et y trouvèrent des documents en langue étrangère ; Đức An cessa alors de servir de relais au Parti.
destinations.json::[15].short	Hình hài của tinh thần yêu nước, tinh thần cách mạng qua nhiều thế hệ.	La maison où l'esprit patriote et révolutionnaire de plusieurs générations a pris corps.
destinations.json::[15].highlights[0]	Dụng cụ sinh hoạt và ảnh tư liệu của đồng chí Cao Hồng Lãnh	Les objets et photographies d'archives du camarade Cao Hồng Lãnh
destinations.json::[15].highlights[1]	Cổ vật của gia đình Đức An	Les antiquités de la famille Đức An
destinations.json::[15].highlights[2]	Phần nào hoạt động của nhóm Tam Quảng	Une part de l'activité du groupe Tam Quảng
destinations.json::[16].name	Nhà cổ Tấn Ký	La maison ancienne Tấn Ký
destinations.json::[16].description	Nhà cổ Tấn Ký không chỉ đẹp ở kiến trúc mà còn giống như một bảo tàng thu nhỏ với vô vàn cổ vật thú vị	La maison Tấn Ký n'est pas seulement belle par son architecture : c'est un musée en miniature, rempli d'antiquités curieuses.
destinations.json::[16].quizBank[0].question	Chiếc ghe bầu này được sử dụng khi di chuyển ở vùng nước nào?	Sur quelles eaux ce ghe bầu naviguait-il ?
destinations.json::[16].quizBank[0].options[0]	Vịnh	La baie
destinations.json::[16].quizBank[0].options[1]	Biển	La haute mer
destinations.json::[16].quizBank[0].options[2]	Sông	La rivière
