path	vi	zh
destinations.json::[10].description	Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.	传统艺术表演馆自1996年成立至今，各项节目为海内外众多观众带来美感与乐趣。
destinations.json::[11].name	Nhà thờ tộc Trần	陈氏祠堂
destinations.json::[11].description	Xuyên qua khu vườn yên ả là từ đường của tộc Trần, khởi dựng từ năm 1802 bởi một vị quan trước khi đi sứ sang Trung Quốc.	穿过静谧的庭园，便是陈氏的家祠。1802年，一位官员在出使中国之前建起了它。
destinations.json::[11].quizBank[0].question	Con hổ trong bức tranh ở gian ngoài đang làm gì?	外间画中的老虎在做什么？
destinations.json::[11].quizBank[0].options[0]	Ngồi	坐着
destinations.json::[11].quizBank[0].options[1]	Nhảy qua suối	跃过溪流
destinations.json::[11].quizBank[0].options[2]	Gầm	咆哮
destinations.json::[11].quizBank[0].explain	Trên bức tranh có viết hai chữ “Hổ khiếu” tức hổ gầm, tượng trưng cho sức mạnh dũng mãnh, uy lực vang dội, có thể xua đuổi tà khí.	画上写有“虎啸”二字，即虎的怒吼，象征勇猛之力与远播之威，可驱邪气。
destinations.json::[11].quizBank[1].question	Khi muốn xin ý kiến của tổ tiên, chủ nhà sẽ thực hiện hành động gì?	要请问祖先的意思时，主人会做什么？
destinations.json::[11].quizBank[1].options[0]	Xin đài âm dương	掷阴阳筶（求签问卦）
destinations.json::[11].quizBank[1].options[1]	Xin báo mộng	求梦示
destinations.json::[11].quizBank[1].options[2]	Xin giáng bút	求降笔
destinations.json::[11].quizBank[1].explain	Xin đài âm dương (xin keo) là nghi thức gieo hai đồng xu hoặc hai miếng gỗ bán nguyệt để hỏi ý kiến thần linh, gia tiên phù hộ về những việc hệ trọng như làm nhà, kinh doanh, thi cử, ốm đau...	掷阴阳筶（俗称求签）是抛两枚铜钱或两片半月形木片，以问神灵与祖先之意，多用于建屋、经商、赴考、患病等大事。
destinations.json::[11].quizBank[2].question	Kết cấu kiến trúc này có tên là gì?	这种构架叫什么名字？
destinations.json::[11].quizBank[2].options[0]	Vì giá chiêng	架锣式屋架
destinations.json::[11].quizBank[2].options[1]	Vì vỏ cua	蟹壳式屋架
destinations.json::[11].quizBank[2].options[2]	Vì chồng rường giả thủ	叠梁假首式屋架
destinations.json::[11].quizBank[2].explain	Vì vỏ cua là một kiểu kết cấu vì kèo gỗ truyền thống trong kiến trúc cổ của người Việt, thường gặp ở Hội An, Huế và các vùng lân cận. Các vì vỏ cua thường được thợ mộc chạm trổ hoa văn, họa tiết rất tinh xảo, vừa mang tính chịu lực đỡ mái vừa làm điểm nhấn trang trí cho không gian nội thất.	蟹壳式屋架是越南古建筑中的传统木构屋架，多见于会安、顺化及邻近地区。木匠常在其上精雕纹样，既承屋顶之力，又成为室内的装饰重点。
destinations.json::[11].short	Nhà thờ cổ 200 năm tuổi ẩn trong một khu vườn, với lối kiến trúc pha trộn từ ba nền văn hoá.	藏在庭园里的两百年家祠，建筑融合三种文化。
destinations.json::[11].highlights[0]	Kiến trúc nhà vườn cổ kính	古朴的园宅建筑
destinations.json::[11].highlights[1]	Các cổ vật mang nhiều dấu ấn văn hoá	带着多重文化印记的古物
destinations.json::[11].highlights[2]	Không gian thờ tự trang nghiêm	肃穆的祭祀空间
destinations.json::[12].name	Nhà thờ tộc Nguyễn Tường	阮祥家祠
destinations.json::[12].description	Di tích gắn với sự phát tích của dòng họ Nguyễn Tường ở Hội An và của nhóm Tự Lực Văn Đoàn.	这处古迹与阮祥家族在会安的发迹，以及文学团体“自力文团”密切相关。
destinations.json::[12].quizBank[0].question	Ngôi nhà này được xây dựng bởi ai?	这座宅子由谁所建？
destinations.json::[12].quizBank[0].options[0]	Một vị thượng thư triều Nguyễn	一位阮朝尚书
destinations.json::[12].quizBank[0].options[1]	Một hoạ sĩ	一位画家
destinations.json::[12].quizBank[0].options[2]	Một nhà văn	一位作家
destinations.json::[12].quizBank[0].explain	Nguyễn Tường Vân là một vị quan đại thần dưới triều vua Gia Long và Minh Mạng, từng giữ chức Binh bộ Thượng thư và mang tước Nhuận Trạch Hầu. Ngay trước nhà còn liễn đối ca ngợi ông: “Nhuận Trạch hầu gia khí thế trường tồn uy hải ngoại. Thượng thư Binh bộ thanh danh quảng bá Việt trung.” Chức Binh bộ Thượng thư tương đương với Bộ trưởng Bộ Quốc phòng ngày nay.	阮祥云是嘉隆、明命两朝的重臣，曾任兵部尚书，封润泽侯。宅前尚有对联赞其人：“润泽侯家气势长存威海外；尚书兵部声名广播越中。”兵部尚书相当于今日的国防部长。
destinations.json::[12].quizBank[1].question	Phần trung tâm của ngôi nhà này được sử dụng để làm gì?	这座宅子的中心一间用来做什么？
destinations.json::[12].quizBank[1].options[0]	Sáng tác văn chương	写作
destinations.json::[12].quizBank[1].options[1]	Thờ cúng	祭祀
destinations.json::[12].quizBank[1].options[2]	Tiếp khách	接待客人
destinations.json::[12].quizBank[1].explain	Trước gian thờ là hoành phi ghi bốn chữ “Nguyễn Tường từ đường”, hai bên là liễn đối: “Thiên tải tần phồn truy viễn, thử tâm hà cảm giải. Nhất diên tu tiến đốc thân, tư niệm khởi năng vong.” Tạm dịch: Ngàn năm dâng lễ cúng tế tưởng nhớ tổ tiên, tấm lòng này sao dám trễ nải. Một mâm cúng dâng món ngon hiếu kính người thân, đạo lý này há thể nào quên.	祭间之前悬“阮祥祠堂”四字横匾，两侧对联：“千载频繁追远，此心何敢懈；一筵修荐笃亲，斯念岂能忘。”意为：千年频献祭以追念先祖，此心何敢懈怠；一席佳馔敬奉亲长，此理岂能忘怀。
destinations.json::[12].quizBank[2].question	Tác giả nào là hậu duệ của tộc Nguyễn Tường?	哪位作家是阮祥家族的后人？
destinations.json::[12].quizBank[2].options[0]	Nguyên Hồng	原鸿（Nguyên Hồng）
destinations.json::[12].quizBank[2].options[1]	Khái Hưng	慨兴（Khái Hưng）
destinations.json::[12].quizBank[2].options[2]	Thạch Lam	石岚（Thạch Lam）
destinations.json::[12].quizBank[2].explain	Thạch Lam là hậu duệ của dòng họ khoa bảng Nguyễn Tường. Tuy vậy, cuộc đời sáng tác của ông gắn liền với phố huyện Cẩm Giàng (Hải Dương) và Hà Nội. Ông viết về một chiều hoàng hôn ở phố huyện tù đọng và bị lề hóa: “Tiếng trống thu không trên cái chòi của huyện nhỏ; từng tiếng một vang ra để gọi buổi chiều. Phương tây đỏ rực như lửa cháy và những áng mây ánh hồng như hòn than sắp tàn. [...] Chiều, chiều rồi. Một chiều êm ả như ru, văng vẳng tiếng ếch nhái kêu ra ngoài đồng ruộng theo gió nhẹ đưa vào.”	石岚是科第世家阮祥家族的后人，但他的创作生涯与海阳锦江县城和河内相连。他写过一个停滞而被边缘化的县城的黄昏：“小县的更楼上传来收更的鼓声，一声一声唤来傍晚。西方红得像火烧，粉霞如将熄的炭。……傍晚，傍晚了。一个如摇篮曲般平静的黄昏，田野里的蛙鸣随微风隐隐传来。”
destinations.json::[12].short	Câu chuyện về dòng họ được khai cơ bởi một vị Thượng thư – cội nguồn của những nhà văn lớn thế kỷ XX.	一位尚书开基的家族故事——二十世纪大作家的根脉。
destinations.json::[12].highlights[0]	Các tác phẩm của nhóm Tự Lực Văn Đoàn	自力文团诸位作家的作品
destinations.json::[12].highlights[1]	Sắc phong của bốn triều vua	四朝御赐的敕封
destinations.json::[12].highlights[2]	Không gian thờ tự trang nghiêm	肃穆的祭祀空间
destinations.json::[13].name	Nhà cổ Phùng Hưng	冯兴古宅
destinations.json::[13].description	Mong muốn gia đình sẽ làm ăn ngày càng phát đạt, vị thương nhân đã đặt tên cho ngôi nhà là “Phùng Hưng” - cũng là tên hiệu buôn của ông, mang nghĩa là “hưng thịnh”.	盼望家业日益兴旺，这位商人便为宅子取名“冯兴”——也是他的商号，意为“兴盛”。
destinations.json::[13].quizBank[0].question	Hai bộ tranh này được tạo ra bằng kỹ nghệ gì?	这两幅画用什么工艺制成？
destinations.json::[13].quizBank[0].options[0]	Pháp lam	珐琅
destinations.json::[13].quizBank[0].options[1]	Cẩn xà cừ	螺钿镶嵌（嵌螺）
destinations.json::[13].quizBank[0].options[2]	Ghép sành sứ	瓷片镶贴
destinations.json::[13].quizBank[0].explain	Cẩn xà cừ (khảm trai) là nghề thủ công truyền thống lâu đời tại Việt Nam, dùng các mảnh vỏ trai, vỏ ốc cắt gọt tinh xảo để cẩn lên bề mặt gỗ, kim loại hoặc sơn mài. Các chi tiết cẩn xà cừ có độ óng ánh, đổi màu theo góc nhìn.	嵌螺（螺钿）是越南历史悠久的传统手工艺，将贝壳、螺壳精细切割后镶嵌于木、金属或漆器表面。螺钿会随视角变化而闪动、变色。
destinations.json::[13].quizBank[1].question	Chiếc cửa sập trong nhà dùng để làm gì?	屋内这道翻板门用来做什么？
destinations.json::[13].quizBank[1].options[0]	Đi lại giữa gác và tầng trệt	在阁楼与地面层之间上下
destinations.json::[13].quizBank[1].options[1]	Thông gió	通风
destinations.json::[13].quizBank[1].options[2]	Chuyển hàng hóa, đồ đạc lên tầng	把货物、家具搬上楼
destinations.json::[13].quizBank[1].explain	Xưa kia, do phố cổ Hội An nằm gần sông và hay bị ngập lụt mùa nước lên, chủ nhà dùng cửa sập này để nhanh chóng chuyển và kéo hàng hóa từ tầng trệt lên gác lửng nhằm tránh lũ.	旧时会安古城临河，涨水常淹，主人便用这道翻板门迅速把地面层的货物拉上半楼，以避洪水。
destinations.json::[13].quizBank[2].question	Bộ tượng này là nhân hóa của các giá trị gì?	这组塑像是哪三种价值的化身？
destinations.json::[13].quizBank[2].options[0]	Phúc - Lộc - Thọ	福·禄·寿
destinations.json::[13].quizBank[2].options[1]	Tòng Phụ - Tòng Phu - Tòng Tử	从父·从夫·从子（三从）
destinations.json::[13].quizBank[2].options[2]	Nhân - Lễ - Nghĩa	仁·礼·义
destinations.json::[13].quizBank[2].explain	Phúc Lộc Thọ (hay Tam Đa) là biểu tượng trong văn hóa Á Đông tượng trưng cho ba điều ước lớn nhất của đời người: may mắn/hạnh phúc (Phúc), sự thịnh vượng/giàu sang (Lộc), và sức khỏe/sống lâu (Thọ).	福禄寿（又称三多）是东亚文化中的象征，代表人生三大愿望：福为福气与幸福，禄为富贵与丰足，寿为健康与长寿。
destinations.json::[13].short	Nhà cổ rộng rãi, với kiến trúc pha trộn từ ba nền văn hoá Việt - Nhật - Trung	宽敞的古宅，融合越、日、中三种文化的建筑
destinations.json::[13].highlights[0]	Các bộ tranh được tạo bằng kỹ thuật truyền thống	以传统技艺制成的画作
destinations.json::[13].highlights[1]	Mái nhà giữa được thiết kế theo kiểu "tứ hải" của Nhật Bản	中间的屋顶采用日本“四海”式设计
destinations.json::[13].highlights[2]	Bộ liễn đối theo lối “hồi văn” - dù đọc xuôi hay đọc ngược thì ý nghĩa không đổi	“回文”对联——顺读倒读，意思不变
destinations.json::[14].name	Nhà cổ Quân Thắng	军胜古宅
destinations.json::[14].description	Nhà cổ Quân Thắng được xây dựng vào khoảng cuối thế kỷ 17, pha trộn giữa phong cách Trung Hoa và Việt Nam.	军胜古宅约建于十七世纪末，融合中式与越式风格。
destinations.json::[14].quizBank[0].question	Chủ nhân đầu tiên của ngôi nhà này là ai?	这座宅子最初的主人是谁？
destinations.json::[14].quizBank[0].options[0]	Chủ hiệu sách	书店老板
destinations.json::[14].quizBank[0].options[1]	Thương nhân buôn gốm	瓷器商人
destinations.json::[14].quizBank[0].options[2]	Thương nhân kinh doanh hàng hóa quý hiếm	经营珍稀货物的商人
destinations.json::[14].quizBank[0].explain	Chủ nhân đầu tiên là ông Quân Thắng, một thương nhân người Hoa giàu có bậc nhất tại phố Hội thời xưa. Bà Diệp Ái Phương (cháu đời thứ 7 của thương nhân Quân Thắng) cho biết, ban đầu nơi đây là một hiệu buôn sầm uất, chuyên kinh doanh các loại hàng hóa quý hiếm.	最初的主人是军胜先生，旧时会安最富有的华商之一。其第七代后人叶爱芳女士说，这里起初是一家生意兴隆的商号，专营珍稀货物。
destinations.json::[14].quizBank[1].question	Những con số này biểu thị điều gì?	这些数字表示什么？
destinations.json::[14].quizBank[1].options[0]	Mốc nước lũ theo từng năm	历年的洪水水位
destinations.json::[14].quizBank[1].options[1]	Chiều cao của các loại cây kiểng khác nhau	各种盆景的高度
destinations.json::[14].quizBank[1].options[2]	Chiều cao các thành viên trong gia đình	家中各人的身高
destinations.json::[14].quizBank[1].explain	Bà Diệp Ái Phương cho biết việc ghi dấu mực nước trên cột gỗ đã có từ thời ông cha để lại. Con cháu trong dòng họ vẫn tiếp tục gìn giữ, bảo tồn. Trong những ngày lũ, gia đình bà chuyển toàn bộ sinh hoạt lên tầng 2 để đảm bảo an toàn. Trên cột nhà có ghi lại trận lũ Giáp Thìn 1964, một trận "đại hồng thủy" gây thiệt hại nghiêm trọng cho các tỉnh miền Trung từ Huế đến Bình Định (cũ).	叶爱芳女士说，在木柱上刻记水位是祖辈传下来的做法，后人一直保留。逢洪水，全家便搬到二楼生活。柱上还记着1964年甲辰大洪水——那场“大洪水”自顺化至（旧）平定，令中部诸省损失惨重。
destinations.json::[14].quizBank[2].question	Hình ảnh được chạm trên cuốn thư ở giếng trời là gì?	天井处那方卷书上雕的是什么图案？
destinations.json::[14].quizBank[2].options[0]	Hoa cúc và chim trĩ	菊花与雉鸡
destinations.json::[14].quizBank[2].options[1]	Cây tùng và hươu	松与鹿
destinations.json::[14].quizBank[2].options[2]	Cây tùng và hạc	松与鹤
destinations.json::[14].quizBank[2].explain	Hình ảnh tùng và hươu là một hình ảnh phổ biến trong trang trí ở Đông Á, trong đó cây tùng diện cho sức sống bền bỉ, sự hiên ngang và khí tiết vượt qua nghịch cảnh còn hươu (âm Hán Việt là “lộc”) có phát âm tương tự chữ "lộc" (tài lộc, bổng lộc). Trong kiến trúc nhà ống dài không có cửa sổ bên hông, thiên tỉnh là nguồn cung cấp ánh sáng và khí trời duy nhất. Ở ngay sát cửa có thể thấy hai bài vị thờ “Thiên quan tứ phúc” và “Tư mệnh táo quân”. Thờ cúng ông Thiên là truyền thống của nhiều gia đình người Hoa. Bài vị thờ “Thiên quan tứ phúc” sẽ được đặt ở nơi thoáng đãng, lộ thiên để đón phúc khí.	松与鹿是东亚装饰中常见的组合：松代表坚韧的生机、挺拔的气骨与逆境中的节操；鹿的汉越音为“lộc”，与“禄”（财禄、俸禄）同音。在没有侧窗的长条管屋里，天井是唯一的采光与通风来源。门旁可见“天官赐福”与“司命灶君”两方神位。祭天是许多华人家庭的传统，“天官赐福”牌位须置于开阔露天处，以迎福气。
destinations.json::[14].short	Ngôi nhà hơn 300 tuổi mang văn hoá người Hoa	一座三百多年、承载华人文化的宅子
destinations.json::[14].highlights[0]	Kiến trúc nhà ống đặc trưng của Hội An	会安特有的“管屋”格局
destinations.json::[14].highlights[1]	Các chi tiết điêu khắc gỗ tinh xảo	精细的木雕细部
destinations.json::[14].highlights[2]	Nội thất và trang trí của cộng đồng người Hoa	华人社群的家具与装饰
destinations.json::[15].name	Nhà cổ Đức An	德安古宅
destinations.json::[15].description	Một ngôi nhà ghi lại quá trình phát triển của phong trào yêu nước đầu thế kỷ XX, từ phong trào Duy Tân cho đến hoạt động cách mạng của Đảng Cộng sản.	一座记录二十世纪初爱国运动发展的宅子：从维新运动，直到共产党的革命活动。
destinations.json::[15].quizBank[0].question	Trước kia nhà Đức An từng bán sách của tác giả nào?	从前德安号卖的是哪位作者的书？
destinations.json::[15].quizBank[0].options[0]	Sách của Khang Hữu Vi, Lương Khải Siêu	康有为、梁启超的书
destinations.json::[15].quizBank[0].options[1]	Sách của Hà Ân Chấn	何恩振的书
destinations.json::[15].quizBank[0].options[2]	Sách của Cù Thu Bạch	瞿秋白的书
destinations.json::[15].quizBank[0].explain	Từ cuối thế kỷ XIX, ngôi Nhà Đức An là nơi bán sách, chủ yếu là sách tiếng Hoa của tác giả Khang Hữu Vi, Lương Khải Siêu,... Trong thời gian này, các nhà yêu nước kháng Pháp như Huỳnh Thúc Kháng, Trần Quý Cáp... thường lui tới để đặt mua những cuốn sách có nội dung tư tưởng tiến bộ. Cụ Trần Quý Cáp đã cho gia chủ các chữ được ghi trên liễn đối: “Vân trình ngũ sắc văn minh thịnh; Vạn tuế tam xuân khí tượng tân” (có nghĩa: Mây quý hiển linh giúp nền văn minh rực rỡ; Vạn năm khí sắc xuân lành), thể hiện khát khao canh tân, phát triển đất nước.	自十九世纪末，德安宅便是书店，主要售卖康有为、梁启超等人的中文书籍。其间，黄叔抗、陈季恰等抗法爱国志士常来订购具进步思想的书。陈季恰曾为主人题写对联：“云程五色文明盛；万岁三春气象新”，寄托维新图强、发展国家的心愿。
destinations.json::[15].quizBank[1].question	Vì sao hiệu Đức An chuyển sang bán thuốc bắc?	德安号为何转做中药生意？
destinations.json::[15].quizBank[1].options[0]	Hiệu Đức An gặp được nguồn cung thuốc tốt	因为找到了好的药材来源
destinations.json::[15].quizBank[1].options[1]	Thực dân Pháp đàn áp Trung Kỳ dân biến	因为法国殖民者镇压中圻民变
destinations.json::[15].quizBank[1].options[2]	Việc bán sách không còn thu được lợi nhuận	因为卖书不再有利
destinations.json::[15].quizBank[1].explain	Sau sự kiện chống thuế năm 1908, nhà Đức An chuyển sang bán thuốc Bắc hòa vào việc buôn bán tấp nập cùng nhiều hiệu thuốc Bắc ở Hội An song vẫn là điểm hẹn gặp gỡ của các chí sĩ yêu nước trong khu vực. Trong vụ dân biến này, nông dân kéo nhau thành từng đoàn đến bao vây các dinh công sứ Pháp để nộp đơn xin giảm sưu thuế. Thực dân Pháp sau đó đã dùng vũ lực đàn áp đẫm máu, bắt bớ và đày ải nhiều sĩ phu, nông dân yêu nước.	1908年抗税事件后，德安宅转而经营中药，与会安众多药铺一同做起热闹的生意，同时仍是本地爱国志士聚会之所。在那场民变中，农民成群围住法国公使衙署，递交减免赋税的请愿。法国殖民者随后以武力血腥镇压，逮捕并流放了许多士人与爱国农民。
destinations.json::[15].quizBank[2].question	Từ năm 1927 đến năm 1934, chủ nhà Đức An đã sử dụng nơi này để tổ chức những hoạt động gì?	1927年至1934年，德安主人用此处组织什么活动？
destinations.json::[15].quizBank[2].options[0]	Chẩn bệnh miễn phí cho người nghèo	为穷人免费看病
destinations.json::[15].quizBank[2].options[1]	Gặp gỡ các cầu thủ của đội bóng Ô-rô	与奥罗足球队球员会面
destinations.json::[15].quizBank[2].options[2]	Liên lạc, hội họp của phong trào cách mạng	革命运动的联络与集会
destinations.json::[15].quizBank[2].explain	Tháng 10/1927, tại chính căn nhà này, đồng chí Năm Thêm chủ trì cuộc họp thành lập Hội Việt Nam Cách mạng Thanh niên Hội An. Từ ngày 28/03/1930, Tỉnh ủy Đảng Cộng sản Việt Nam Quảng Nam được thành lập ở Hội An, nhà Đức An tiếp tục trở thành nơi liên lạc và tổ chức hội họp của Đảng. Năm 1934, do sự chỉ dẫn của mật thám, lính Pháp đã đến lục soát ngôi nhà này và tìm thấy một vài tài liệu tiếng nước ngoài. Từ đó, nhà Đức An tạm đình chỉ làm nơi liên lạc của Đảng.	1927年10月，正是在这座宅子里，五添同志主持成立会安越南革命青年会。1930年3月28日广南省党委在会安成立后，德安继续作为党的联络点与会议场所。1934年，因密探指引，法国士兵搜查此宅，查获若干外文材料。此后德安暂停作为党的联络处。
destinations.json::[15].short	Hình hài của tinh thần yêu nước, tinh thần cách mạng qua nhiều thế hệ.	一座让几代人的爱国与革命精神有了形体的宅子。
destinations.json::[15].highlights[0]	Dụng cụ sinh hoạt và ảnh tư liệu của đồng chí Cao Hồng Lãnh	高鸿岭同志的生活用具与资料照片
destinations.json::[15].highlights[1]	Cổ vật của gia đình Đức An	德安家族的古物
destinations.json::[15].highlights[2]	Phần nào hoạt động của nhóm Tam Quảng	三广小组活动的一部分
destinations.json::[16].name	Nhà cổ Tấn Ký	进记古宅
destinations.json::[16].description	Nhà cổ Tấn Ký không chỉ đẹp ở kiến trúc mà còn giống như một bảo tàng thu nhỏ với vô vàn cổ vật thú vị	进记古宅不只建筑好看，更像一座袖珍博物馆，藏着无数有趣的古物。
destinations.json::[16].quizBank[0].question	Chiếc ghe bầu này được sử dụng khi di chuyển ở vùng nước nào?	这艘葫芦船（ghe bầu）行驶于哪种水域？
destinations.json::[16].quizBank[0].options[0]	Vịnh	海湾
destinations.json::[16].quizBank[0].options[1]	Biển	海上
destinations.json::[16].quizBank[0].options[2]	Sông	江河
destinations.json::[16].quizBank[0].explain	Ghe bầu là loại thương thuyền (thuyền buôn) gỗ cỡ lớn truyền thống từng đóng vai trò huyết mạch trong ngành hàng hải và giao thương ven biển Việt Nam từ thế kỷ 16 đến nửa đầu thế kỷ 20. Thuyền có phần thân phình to ở giữa giống hình quả bầu, mạn cao, đáy bằng hoặc hơi khum, giúp chịu được sóng gió lớn ngoài khơi.	葫芦船是传统的大型木质商船，自16世纪至20世纪前半，一直是越南航海与沿海贸易的命脉。船身中部鼓胀如葫芦，舷高，底平或略弧，可抗外海的大风大浪。
destinations.json::[16].quizBank[1].question	Hiệu Tấn Ký từng buôn bán những mặt hàng nào?	进记号从前经营什么商品？
destinations.json::[16].quizBank[1].options[0]	Y phục	衣料
destinations.json::[16].quizBank[1].options[1]	Sách báo	书报
destinations.json::[16].quizBank[1].options[2]	Nông sản	农产品
destinations.json::[16].quizBank[1].explain	Nhà cổ Tấn Ký được xây dựng vào năm 1741 bởi ông Lê Công, một thương nhân gốc Hoa di cư đến Hội An. Ông Lê Công ban đầu kinh doanh hàng nông sản từ miền cao về phố cảng.	进记古宅由1741年迁居会安的华裔商人黎公所建。他起初把高地的农产品运到港城贩卖。
destinations.json::[16].quizBank[2].question	Chiếc cốc này gửi gắm triết lý gì?	这只杯子寄托什么道理？
destinations.json::[16].quizBank[2].options[0]	Biết đủ	知足
destinations.json::[16].quizBank[2].options[1]	Nghĩa khí	义气
destinations.json::[16].quizBank[2].options[2]	Khiêm tốn	谦逊
destinations.json::[16].quizBank[2].explain	Chiếc cốc hoạt động dựa trên nguyên lý bình thông nhau và hiệu ứng xifong (siphoning). Ở giữa cốc có một cột nhỏ che giấu một đường ống cong (ống chữ U ngược). Nếu rót quá đầy (vượt quá đỉnh của ống ngầm bên trong), toàn bộ nước trong cốc sẽ tự động chảy sạch qua lỗ nhỏ ở đáy cốc.	这只杯依连通器原理与虹吸效应工作。杯中有一小柱，内藏一根弯管（倒U形）。若倒得太满、越过暗管顶端，杯中水便会从底部小孔全部流尽。
destinations.json::[16].short	“Bảo tàng sống” giữ gần như nguyên vẹn kiến trúc đặc trưng nhà cổ Hội An xưa.	一座“活的博物馆”，几乎完整保留旧会安古宅的特色。
destinations.json::[16].highlights[0]	Chén Khổng Tử từ Phước Kiến	来自福建的孔子杯
destinations.json::[16].highlights[1]	Nội thất gỗ được chạm cầu kỳ	雕琢繁复的木作内饰
destinations.json::[16].highlights[2]	Tính nguyên vẹn của kiến trúc xưa	古建筑保存的完整性
destinations.json::[17].name	Hội quán Quảng Triệu	广肇会馆
destinations.json::[17].description	Dưới những nếp mái vuông vức là không gian trang nghiêm, được trang trí bằng vô số cổ điển Trung Hoa	方正的屋顶之下，是一处庄严的空间，装饰着无数中国古典题材。
destinations.json::[17].quizBank[0].question	Ba người này đang ở đâu?	这三个人身在何处？
destinations.json::[17].quizBank[0].options[0]	Vườn trúc	竹园
destinations.json::[17].quizBank[0].options[1]	Núi tùng	松山
destinations.json::[17].quizBank[0].options[2]	Vườn đào	桃园
destinations.json::[17].quizBank[0].explain	Bức tranh vẽ cảnh kết nghĩa vườn đào của ba anh em Lưu Bị, Quan Vũ và Trương Phi với lời thề "Tuy không sinh cùng ngày cùng tháng cùng năm, nhưng nguyện chết cùng ngày cùng tháng cùng năm", nguyện dốc sức vì nước, cứu dân an đời.	画中是刘备、关羽、张飞三兄弟桃园结义：“虽不同生同日同月同年，愿死同日同月同年”，誓愿尽力报国、救民安世。
destinations.json::[17].quizBank[1].question	Trong ba nhân vật, ai là Quan Vũ?	三人之中，哪一位是关羽？
destinations.json::[17].quizBank[1].options[0]	Người có mặt đỏ	红脸的那位
destinations.json::[17].quizBank[1].options[1]	Người ở giữa có tai to	居中、耳大的那位
destinations.json::[17].quizBank[1].options[2]	Người có mặt đen	黑脸的那位
destinations.json::[17].quizBank[1].explain	Trong truyện Tam Quốc có 2 câu đối nhắc tới sắc đỏ gắn liền với Quan Vũ: “Xích diện bỉnh xích tâm, kỵ Xích Thố truy phong, trì khu thời vô vong Xích Đế / Thanh đăng quan thanh sử, trượng thanh long yển nguyệt, ẩn vi xứ bất uý thanh thiên”. Theo bản dịch của Phan Kế Bính: “Bộ mặt đỏ giữ tấm lòng đỏ, cưỡi ngựa Thỏ Đỏ truy phong, lúc ruổi rong không quên nhớ Vua Đỏ / Ngọn đèn xanh xem bộ sử xanh, cầm đao yển nguyệt rồng xanh, nơi kín đáo chẳng thẹn với trời xanh.”	《三国》有两副对联写关羽与“红”：“赤面秉赤心，骑赤兔追风，驰驱时无忘赤帝／青灯观青史，仗青龙偃月，隐微处不愧青天。”据潘继丙译：“赤面持赤心，跨赤兔追风，奔驰时不忘赤帝／青灯读青史，握青龙偃月，幽微处无愧青天。”
destinations.json::[17].quizBank[2].question	Nhân vật nữ này đang bưng thức quả gì?	这位女性人物手中捧的是什么果子？
destinations.json::[17].quizBank[2].options[0]	Quả hồng	柿子
destinations.json::[17].quizBank[2].options[1]	Quả đào	仙桃
destinations.json::[17].quizBank[2].options[2]	Quả phật thủ	佛手
destinations.json::[17].quizBank[2].explain	Bức tranh “Ma Cô hiến thọ” vẽ lại cảnh tiên nữ Ma Cô mang đào tiên chúc thọ Tây Vương Mẫu. Đây chính là hình ảnh trang trí quen thuộc trên những chiếc đĩa cô tiên. Trong bức tranh ở Hội quán Quảng Triệu còn xuất hiện mô-típ tùng và hạc.	“麻姑献寿”画的是仙女麻姑捧仙桃为西王母祝寿，也是仙人瓷盘上常见的装饰题材。广肇会馆这幅画中还出现松与鹤的母题。
destinations.json::[17].short	Từng là nơi hội họp của các thương nhân Quảng Đông, một hội quán uy nghi, bề thế, và mực thước trong kể chuyện.	曾是广东商人聚会之所：庄严、气派，讲故事讲得有法度。
destinations.json::[17].highlights[0]	Tác phẩm “ngư long hý thuỷ”	“鱼龙戏水”之作
destinations.json::[17].highlights[1]	Các bức tranh minh hoạ tích truyện Quan Công	描绘关公故事的画作
destinations.json::[17].highlights[2]	Các chi tiết hoa trái mang tính biểu tượng	富有象征意味的花果细部
destinations.json::[18].name	Hội quán Phúc Kiến	福建会馆
destinations.json::[18].description	Hội quán tráng lệ nhất phố Hội, với những chi tiết trang trí tinh xảo, tái hiện hải trình của những thương nhân Phước Kiến cùng lòng thành kính với Thiên Hậu Thánh Mẫu.	会安最富丽的会馆：以精细的装饰重现福建商人的海上航程，也承载对天后圣母的虔敬。
destinations.json::[18].quizBank[0].question	Hình ảnh nào dưới đây là mái của Hội quán Phước Kiến?	下面哪张图是福建会馆的屋顶？
destinations.json::[18].quizBank[0].options[0]	Ảnh 1	图 1
destinations.json::[18].quizBank[0].options[1]	Ảnh 3	图 3
destinations.json::[18].quizBank[0].options[2]	Ảnh 2	图 2
destinations.json::[18].quizBank[0].explain	Khác với kiểu nóc mái thẳng tắp của Quảng Đông, kiến trúc mái đặc trưng của vùng Phúc Kiến có bờ nóc võng xuống như con thuyền đang cưỡi sóng. Phần trang trí cũng công phu hơn so với các hội quán khác.	与广东屋脊平直不同，福建一带的屋顶正脊中段下凹，如舟行浪上；装饰也比其他会馆更为讲究。
